Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,25.9,29.7,22.8,1006.8,80,0,9.7,5.9,10.7,,,,,
2,26.7,31.1,23.4,1007.2,77,0,9.3,9.1,14.4,,,,,
3,24.7,28.2,21.8,1006,82,0,9,8.1,14.4,,,,,
4,24.9,28.2,21.6,1005.9,76,0,11.9,10.7,14.4,,,,,
5,25.1,29,21.6,1005,75,0,11.1,9.4,10.7,,,,,
6,26.6,30,21.6,1003.1,78,0,10.1,9.4,10.7,,,,,
7,24.2,27.7,22.8,1001.7,91,21.08,9.2,5.9,10.7,,,,,
8,27.9,31.9,22.2,1003.7,79,8.89,10.9,9.4,14.4,,,,,
9,29.6,33.5,24.7,1003.4,74,0,12.1,9.8,10.7,,,,,
10,31.1,34.8,26.5,1002.6,70,0,14.8,13.9,21.7,,,,,
11,31.2,35.3,27.9,1001.3,68,0,14,16.7,21.7,,,,,
12,31.3,36.2,27.5,1000.1,69,0,14.2,16.7,25.2,,,,,
13,28.8,33.1,25.1,1001.2,77,0,14.6,11.7,21.7,,,,,
14,29.7,33.2,24.8,1001.8,77,0,11.7,8.1,10.7,,,,,
15,28.8,32,25.5,1000.9,82,0,12.7,11.3,14.4,,,,,
16,27.4,31.1,24,1000.8,76,11.94,11.7,8.5,14.4,,,,,
17,27.6,29.9,23.5,999.5,87,5.08,9.8,9.8,28.7,,,,,
18,27.8,34.2,23.4,999.2,82,10.92,10,7.2,14.4,,,,,
19,25.5,30.3,23.1,1003.7,88,39.88,10.5,11.7,18,,,,,
20,24.8,29.5,20.6,1008.4,78,0,13,14.4,18,,,,,
21,23.4,26.4,20.1,1011.3,79,3.05,13.4,14.4,18,,,,,
22,21.6,24.1,20.8,1008.5,88,34.04,9,13,18,,,,,
23,20.7,22.7,19.6,1004.2,96,26.92,5.1,10.7,14.4,,,,,
24,23.3,26.3,19.1,1003.7,85,0,8.9,7.2,10.7,,,,,
25,25.7,29.4,21.8,1002.7,79,0,10.6,7.2,10.7,,,,,
26,26.9,30.6,22.9,1003.4,77,0,10.1,6.7,10.7,,,,,
27,25.7,30.8,23.4,1003.4,86,3.05,6.9,7.6,18,,,,,
28,26.2,29.9,23,1003.4,75,0,10.1,6.7,10.7,,,,,
29,27.6,31.1,22.8,1001.5,73,0,10.6,4.4,7.2,,,,,
30,28.2,31.5,24.9,1001.5,77,6.1,8.9,3.1,7.2,,,,,
31,27.6,32.5,24.8,1002.9,84,20.07,7.6,5.4,10.7,,,,,
