Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,25.8,29.3,21.9,,76,0,9.8,13.7,27.8,,,,,
2,26.4,30,22.7,,75,0,10.1,10.4,18.3,,,,,
3,26.3,30.1,22.4,,76,0,10.5,9.8,22.2,,,,,
4,26.8,30.3,23,,77,0,9.5,12.6,20.6,,,,,
5,26.8,31.2,21.7,,68,0,9.3,11.3,27.8,,,,,
6,27.7,32.2,22.7,,53,0,11.3,6.5,16.5,,,,,
7,27.1,33,21.9,,50,0,10.9,7.2,14.8,,,,,
8,26.9,31.6,20.7,,47,0,10.8,13.1,24.1,,,,,
9,25.3,28.2,21.6,,60,0,11.7,21.7,33.5,50,,,,
10,25,28.2,21,,62,0,11.3,8.3,16.5,,,,,
11,24.7,28.9,20.6,,63,0,11.3,8.7,22.2,,,,,
12,24.3,29.3,20,,48,0,11.3,10.7,22.2,,,,,
13,23.3,29,16.6,,54,0,10.9,10.4,25.9,,,,,
14,24.2,29,19,,60,0,11.3,9.1,16.5,,,,,
15,24.2,29,18,,61,0,10.5,12.2,25.9,,,,,
16,23.7,28.1,18.4,,67,0,11.3,14.8,29.4,,,,,
17,24,28,19,,71,0,10.9,10.9,18.3,,,,,
18,24.2,28.9,19.8,,72,0,11.1,8.1,16.5,,,,,
19,24.9,31.1,19.2,,62,0,10.3,9.1,20.6,,,,,
20,25,31.2,18.5,,53,0,10.3,8,20.6,,,,,
21,25.6,31.5,19.7,,54,0,11.1,9.6,18.3,,,,,
22,24.9,29.6,20,,64,0,10.8,13.7,25.9,,,,,
23,24.6,28.1,20,,65,0,11.9,15.2,25.9,,,,,
24,24.2,28,19.8,,71,0,11.6,10.2,22.2,,,,,
25,24.3,28.4,19.9,,67,0,10.1,11.3,31.3,,,,,
26,24.4,28.3,20,,72,0,10.3,6.3,14.8,,,,,
27,24.6,29,19.3,,72,0,10.5,5.7,14.8,,,,,
28,25.7,31.9,19,,58,0,10.1,6.7,13,,,,,
29,26.2,31.9,20.1,,61,0,10.5,9.8,20.6,,,,,
30,25.6,31.4,20.2,,73,0,9.8,8,18.3,,,,,
