Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,14.5,17,9.7,1006.1,51,,18.8,25.9,40.7,,,,,
2,12.5,14,6.8,1007.7,35,0,29.9,24.1,37,,,,,
3,15.7,18,4.5,1015.7,42,0,27.5,3.7,9.4,,,,,
4,16.9,19.8,4.2,1020.6,48,0,41.2,6.3,14.8,,,,,
5,16.6,21.1,6.2,1018.2,55,0,32,9.6,18.3,,,,,
6,18.8,20.7,7.1,1015.3,53,0,26.2,15.7,20.6,,,,,
7,19.1,22.2,7.5,1017.3,57,0,22.5,14.8,22.2,,,,,
8,18,20.3,8.8,1016.3,60,0,19.5,10.7,11.1,,,,,
9,19.9,22.6,11.3,1009.9,54,0,19.5,14.8,18.3,,,,,
10,20.2,23.5,7.4,1009.6,51,0,21.2,13.3,20.6,,,,,
11,21.4,24,13.7,1001.5,56,0,18,17.6,20.6,,,,,
12,19.2,21.9,8.4,1009.2,48,0,20.8,20.4,29.4,,,,,
13,20.1,23.9,6.9,1012.8,40,0,18.8,12.6,16.5,,,,,
14,18.9,21.4,9.5,1012.2,49,0,26.2,15.6,27.8,,,,,
15,19.1,20.5,8.5,1013.4,50,0,24.9,16.5,18.3,,,,,
16,19.6,23,7.4,1014.2,45,0,21.2,15.4,25.9,,,,,
17,19.1,20.9,8.3,1016.5,50,0,15,11.5,22.2,,,,,
18,19.6,22,9.3,1016.8,48,0.25,18.8,13.9,16.5,,,,,
19,22,24.6,8.7,1015.1,36,0,40.1,9.3,18.3,,,,,
20,19.7,21,10.3,1013.5,52,0,29.9,21.3,29.4,,,,,
21,21.2,24.5,10.4,1016.2,41,0,45.1,21.9,25.9,,,,,
22,21.9,27,7.4,1017.7,42,0,29.9,8.9,14.8,,,,,
23,25.6,29,12.1,1016.9,25,0,37.5,12,16.5,,,,,
24,28.8,31.5,13,1016.5,22,0,27,12.4,18.3,,,,,
25,31.1,34.9,15.5,1014.8,19,0,29.9,10.7,13,,,,,
26,30.3,34,16.1,1013.3,22,0,23.8,10.2,22.2,,,,,
27,27.7,31.5,14.4,1008.9,24,0,17.5,6.9,18.3,,,,,
28,23,24.6,14.6,1006.3,37,0,20,19.4,29.4,,,,,
29,23.5,25.5,11.6,1011.8,19,0,28.8,14.4,22.2,,,,,
30,22,24.5,7.9,1010.8,37,0,20.8,12.8,18.3,,,,,
