Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,26.8,31.7,21.7,,66,0,10.8,12.6,27.8,,,,,
2,27.3,32.3,21.4,,72,0,9.7,12.6,24.1,,,,,
3,27.1,32,21.7,,73,0,10.1,13.1,22.2,,,,,
4,27.3,32,23,,74,0,9.7,9.8,18.3,,,,,
5,27.5,31.2,22,,70,0,10.1,10.6,16.5,,,,,
6,27.4,31.7,23.7,,74,0.51,9.5,12.8,25.9,,,,,
7,27.8,31.4,23.7,,70,2.79,10,11.1,20.6,,,,,
8,29.1,32.8,24.5,,73,0,10.5,17.4,35.2,,,,,
9,27.3,31.7,21.7,,77,0,10,14.8,25.9,,,,,
10,27.2,32,21.9,,76,0,9.3,13.7,20.6,,,,,
11,27.8,32,23,,74,0,10,10.4,16.5,,,,,
12,28.1,32.4,23.7,,76,0,8.7,10.7,16.5,,,,,
13,28.2,32.2,23.6,,71,0,9.2,8.9,14.8,,,,,
14,28.2,32.5,24,,75,0,9.7,13.9,27.8,,,,,
15,26.6,32,21,,68,0,10.6,17,29.4,,,,,
16,26,31.7,19.7,,66,0,10.5,11.7,16.5,,,,,
17,26.7,31.8,20.4,,68,0,10.1,11.1,16.5,,,,,
18,27.6,32,23,,69,0,10,10.4,16.5,,,,,
19,27.8,32,24,,69,0,10,10.7,16.5,,,,,
20,27.7,31.5,22,,66,0,10.1,11.1,16.5,,,,,
21,27.7,31.6,22.9,,68,0,10.1,14.4,24.1,,,,,
22,28.4,32,24,,70,0,10.1,16.5,27.8,,,,,
23,28.5,33,24,,70,0,10.3,17.4,35.2,,,,,
24,27.8,32.1,22.4,,70,0,10.3,13.9,24.1,,,,,
25,27.7,32.1,21.7,,69,0,10.5,16.3,31.7,,,,,
26,27.6,33.3,21,,63,0,16.3,16.9,35.2,,,,,
27,26.8,32,20,,72,0,10.9,16.9,25.9,,,,,
28,26.5,31.6,20.9,,71,0,10.1,15,25.9,,,,,
29,25.7,30.1,20.8,,68,0,10.3,14.3,20.6,,,,,
30,25.7,30.4,19.8,,65,0,10.3,10.7,16.5,,,,,
31,27,30.5,21.5,,71,0,10.1,15.4,27.8,,,,,
