Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,3.4,5.1,2.5,1017,86,,18,18,28.7,,,,,
6,6.6,12.2,-1.3,1029.1,66,0,27,15.4,18,,,,,
7,13.6,20.8,5.3,1027.4,53,0,31.2,20.2,25.2,,,,,
8,4.1,6,2.6,1030.8,88,0,21.7,10.7,21.7,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,7.5,10.3,4.3,1015.4,86,0,20.9,16.5,21.7,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,-0.5,1.5,-2,994,,0,,28,32.4,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,0.2,0.9,-0.5,1008.5,93,0.25,18.2,28.7,28.7,,,,,
18,,,,,,,,,,,,,,
19,-1.7,-1.2,-2.2,1020.8,82,0,12.1,28.7,28.7,,,,,
20,,,,,,,,,,,,,,
21,-0.8,0.5,-1.9,1025.3,69,0,23.3,9.4,28.7,,,,,
22,0.7,3.2,-1.8,1017.9,66,0,25.4,15.7,21.7,,,,,
23,9.3,14,1.1,1008.5,54,0,24,26.1,32.4,,,,,
24,4.1,8,2,1008.6,78,0,27.2,19.3,28.7,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,-0.4,0.4,-1.4,1021,77,0,24.3,18,28.7,,,,,
29,3.7,6,-1.7,1019,67,0,27,18.5,25.2,,,,,
30,,,,,,,,,,,,,,
31,1.6,2.6,0.3,1008.6,97,1.02,14.6,25.2,28.7,,,,,
