Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,10,12,8,1022.2,65,0,20,16.1,25.2,,,,,
2,10.6,14,8,1015.4,74,1.02,14.3,20.9,28.7,,,,,
3,9,12,8,1018.8,83,5.08,16.7,18.5,21.7,,,,,
4,13.4,17,11,1016.5,65,0,18,20.9,32.4,,,,,
5,16.4,24,11,1012.5,60,0,15.8,13.9,28.7,,,,,
6,18.6,25,11,1003.4,62,0,12.1,17.2,18,,,,,
7,10.8,17,6,1011.5,57,2.03,18,16.9,28.7,,,,,
8,9,14,3,1006.5,62,0,20,11.5,18,,,,,
9,5.3,9,4,1014.8,70,3.05,20,19.4,35.9,,,,,
10,7.2,12,2,1014.8,66,0,18.3,11.5,14.4,,,,,
11,7.3,9,2,1016.5,91,0,14,9.1,10.7,,,,,
12,5.8,8,5,1024.8,91,5.08,12.9,14.4,18,,,,,
13,9,10,8,1020.9,97,4.06,5.5,15,21.7,,,,,
14,12.4,14,8,1019.8,90,20.07,9.8,10.7,14.4,,,,,
15,14.4,19,11,1019.7,75,0,14.8,12.8,25.2,,,,,
16,8.8,15,4,1019.7,80,,18,13,21.7,,,,,
17,4,8,0,1029.7,63,0,17.1,10.2,14.4,,,,,
18,4.2,10,-2,1029.9,59,0,20,8.3,10.7,,,,,
19,7.2,12,2,1030.7,53,0,18.5,7.8,10.7,,,,,
20,8,14,0,1032.4,,0,12.6,11.7,14.4,,,,,
21,11.3,16,7,1025.2,45,0,18.3,17.4,21.7,,,,,
22,11.8,18,6,1019.8,50,0,16.7,15.6,18,,,,,
23,13.8,21,4,1011.7,53,0,15.8,8.7,10.7,,,,,
24,13.4,19,10,1013.6,65,0.25,14.3,16.5,25.2,,,,,
25,13.8,17,11,,70,0,20,9.8,18,,,,,
26,14.4,20,7,1013.1,56,0,17.2,19.4,28.7,,,,,
27,9.6,14,5,1020.8,,0,20,11.5,21.7,,,,,
28,8.4,12,4,1018.5,69,0,15.8,6.7,14.4,,,,,
29,5.1,8,3,1015,81,0.51,13.7,13.9,21.7,,,,,
30,3.2,7,2,1018.7,78,1.02,16.7,17.4,25.2,,,,,
