Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,2.4,11.1,-4,1013.9,78,0,20,3.5,10.7,,,,,
4,,,,,,,,,,,,,,
5,6.9,13.5,1.9,989,89,0.76,12.6,4.4,10.7,35.9,,,,
6,,,,,,,,,,,,,,
7,-0.2,2.1,-3,1010,95,3.05,17.5,4.4,10.7,43.2,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,9.2,16.1,3.6,1001.1,69,3.05,15,6.3,10.7,,,,,
11,1,3.1,-0.9,,87,14.99,8,11.7,14.4,57.6,,,,
12,0.7,2.1,-0.1,1004.1,96,9.91,8.7,4.4,10.7,57.6,,,,
13,-1.1,5.1,-5.1,1011.3,91,0,20,0.9,3.5,,,,,
14,-0.9,6,-4.8,1011.5,85,0,20,0.9,3.5,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,-4.6,1.2,-9.4,1008.9,75,0,20,1.9,7.2,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,1.8,3,0.1,1014.9,74,0,20,7.2,10.7,,,,,
23,1.3,3.7,0,999.3,90,6.1,10.1,3.5,7.2,35.9,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,-1.7,5.3,-6.4,1012.6,83,0,20,2.8,3.5,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,-3.7,-1.3,-6.1,1017.2,79,0.25,,4.4,10.7,43.2,,,,
31,,,,,,,,,,,,,,
