Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,9.1,17.1,1.1,1020.3,71,0,34.9,3,14.4,,,,,
2,9.2,18.2,-0.4,1018.9,74,0,42.5,3.5,7.2,,,,,
3,9.9,15.7,3.4,1015.2,79,2.03,37.2,3.1,10.7,,,,,
4,9.8,13.9,4.2,1009.9,83,0,31.2,3.5,10.7,,,,,
5,9.8,19.1,1.2,1005.8,67,0.51,37.2,6.1,18,,,,,
6,10.7,17.5,1.4,1000.2,50,0,37.2,13.9,25.2,50.4,,,,
7,10.4,18.1,1.2,1003.5,58,0,37.2,8.7,14.4,,,,,
8,9.8,16.1,0.3,1013.4,75,0,41.4,2.6,7.2,,,,,
9,12.3,17.4,10.4,1018.3,72,0,38.3,7.2,18,,,,,
10,13.2,14.4,11.8,,77,0,42.5,4.4,7.2,,,,,
11,13.5,20.9,3.9,1013.4,64,0,28.6,10.7,21.7,,,,,
12,10.6,14.1,3.1,1011.8,82,0,38.8,5.4,14.4,,,,,
13,9.2,14.5,3.2,1013.7,89,0.51,34.9,4.4,14.4,,,,,
14,10,12.9,2,1019.7,72,0.51,21.2,14.4,21.7,,,,,
15,10.2,14.5,1.9,1025.6,76,0.25,38.8,10.4,18,,,,,
16,10.3,16,0.8,1026.4,68,0,46.2,4.1,14.4,,,,,
17,6.6,15.8,-0.5,1024.5,85,2.29,29.9,6.7,14.4,,,,,
18,4.8,12.4,-1.4,1022.3,86,0,38.8,2.8,10.7,,,,,
19,8.4,15.7,-2.9,1018.9,64,0,38.8,4.1,10.7,,,,,
20,8,13.7,0.2,1019.4,74,0,38.8,4.4,14.4,,,,,
21,8,18,2.1,1021.1,66,0,42.5,4.4,14.4,,,,,
22,9.6,13.7,6.2,1021.3,53,0,43.9,7.2,18,,,,,
23,5.9,11.6,-1.3,1022.8,74,0,37.2,7.8,14.4,,,,,
24,4.1,6.7,2.5,1022.9,81,1.02,28.6,5.7,14.4,,,,,
25,2.9,4.8,1.5,1013.6,76,2.03,31.4,8.1,21.7,,,,,
26,4.1,6.1,1,1012.4,76,0.51,45.7,5.7,7.2,,,,,
27,3.3,6.1,0.5,1014.4,74,0,41.4,4.1,10.7,,,,,
28,3.6,6.2,-1.1,1010.6,72,0,37.2,5.2,14.4,,,,,
29,3.3,5.1,2,1009.5,76,0,32.8,2.6,7.2,,,,,
30,4.4,6.1,2.5,1000.5,92,8.89,12.9,3,7.2,,,,,
