Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,-19,-14.1,-25.5,,86,0,22.4,2.8,3.5,,,,,
3,-7.7,-4.6,-17.2,1006.6,56,0,23.7,16.1,25.2,,,,,
4,-11.4,-7.9,-12.5,1016.3,53,0,20,7.2,7.2,,,,,
5,-14.2,-12.8,-15.7,1027.2,67,0,20,5.4,14.4,,,,,
6,-16.3,-13.2,-21,1036.8,63,0,20,4.4,7.2,,,,,
7,-11.8,-8.5,-14.5,1023.5,65,0,29.9,2.8,7.2,,,,,
8,-0.7,2.4,-14.8,1004.2,41,0,27.5,10.7,14.4,,,,,
9,-17.9,-10.3,-24.4,1026.1,85,1.52,13.5,7.2,14.4,,,,,
10,-25.8,-22.9,-30.2,1038.9,87,0.51,15.9,0.9,3.5,,,,,
11,-30.3,-24.8,-35.2,1050.0,86,0,20,0.9,3.5,,,,,
12,-33.4,-28,-37.4,1051.1,,0,13.7,0,,,,,,
13,-30.9,-23.9,-38.6,1043.6,85,0,14.5,0,,,,,,
14,-24.9,-19.7,-32.1,1037.3,82,0,15.9,0,,,,,,
15,-23.7,-16.3,-35,1037.5,83,0.51,15.9,0.9,3.5,,,,,
16,-23.3,-19.5,-31,1040.9,87,0,15,0,,,,,,
17,-16.6,-12.1,-24.5,1041.2,84,0,20,0,,,,,,
18,-14.2,-11,-17.6,1038.1,82,0,20,0,,,,,,
19,-17.2,-12.7,-24.6,1035.6,84,0,20,0.9,3.5,,,,,
20,-25.4,-17.2,-30.8,1037.4,84,0,15,1.9,3.5,,,,,
21,-27.2,-18.8,-32.6,1035.7,82,0,20,0,,,,,,
22,-26.4,-17.9,-38.2,1035.4,,0,15,0,,,,,,
23,-17.1,-10.8,-22.3,1035.9,82,0.51,12.1,1.9,3.5,,,,,
24,-9.1,-8.2,-19.3,1021.9,56,0,27.5,17,32.4,,,,,
25,,,,,,,,,,,,,,
26,-13.6,-10.7,-16.5,1022.7,68,0,20,9.8,10.7,,,,,
27,-20,-16.5,-27,1031.3,77,0,16.3,6.3,7.2,,,,,
28,-25.2,-20.5,-30,1042.7,76,0.25,20,0,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,-20.2,-9,-27.2,1034.1,73,0,17.5,2.8,7.2,,,,,
