Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-15.6,-6,-26,1026.8,55,0,50.1,9.8,18,,,,,
2,-12.8,-8,-25,1020.5,63,0,50.1,15.4,25.2,,,,,
3,-18,-10,-28,1022.8,71,0,44.3,8.5,21.7,,,,,
4,-19.9,-8,-29,1026.8,62,0,50.1,11.3,25.2,,,,,
5,-15.3,-4,-27,1027.1,70,0,45.1,5.4,14.4,,,,,
6,-15,-8,-21,1029.5,64,2.29,39.1,6.1,18,,,,,
7,-21.2,-8,-30,1032.6,57,0,50.1,8.1,10.7,,,,,
8,-20,-7,-31,1030.9,59,0,50.1,7.2,14.4,,,,,
9,-18.6,-10,-30,1026.3,78,0,50.1,2.8,14.4,,,,,
10,-15.6,-3,-27,1023.8,66,0,43.8,2.2,7.2,,,,,
11,-12,-3,-24,1025,63,0.25,40.6,8.1,14.4,,,,,
12,-12.6,-4,-22,1025.7,52,0,50.1,15.4,35.9,,,,,
13,-15.6,-4,-25,1034.5,49,0,50.1,2.8,14.4,,,,,
14,-14.4,0,-25,1031.2,64,0,50.1,3.5,14.4,,,,,
15,-8.4,-1,-14,1027.1,53,0,50.1,10.7,21.7,,,,,
16,-9.6,-1,-19,1027,56,0,50.1,12.8,21.7,,,,,
17,-7.2,2,-21,1024,53,0,50.1,0,3.5,,,,,
18,-7.5,-2,-16,1018.4,73,0,50.1,4.1,10.7,,,,,
19,-4.5,3,-13,1028.4,52,0,50.1,17.6,32.4,,,,,
20,-2.8,6,-11,1024.2,39,0,50.1,7.6,14.4,,,,,
21,4.4,10,0,1011.9,35,0,50.1,27.2,43.2,,,,,
22,-8.6,-3,-15,1026,35,0,50.1,31.9,39.6,,,,,
23,-12.6,-6,-19,1035.3,39,0,50.1,20.6,32.4,,,,,
24,-9.6,-1,-20,1029.2,43,0,50.1,1.9,7.2,,,,,
25,-6.2,3,-19,1019,53,0,50.1,2.6,7.2,,,,,
26,-0.3,10,-11,1011.4,54,0,50.1,1.9,10.7,,,,,
27,1.4,8,-5,1011.1,47,0,50.1,5,14.4,,,,,
28,-0.8,5,-9,1012.3,41,0,50.1,20.6,43.2,,,,,
29,-0.6,7,-10,1009.9,33,0,50.1,26.5,43.2,,,,,
30,-6.2,-3,-10,1016.9,35,0,50.1,37.8,64.8,,,,,
31,-8,-3,-13,1024,39,0,50.1,18,32.4,,,,,
