Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-22.7,-14.5,-28.8,1025.8,71,0,50.1,1.9,7.2,,,,,
2,-24.3,-12.3,-29,1024.8,76,0,50.1,1.5,3.5,,,,,
3,-20.5,-13.5,-30.7,1021,59,0,50.1,3.5,7.2,,,,,
4,-27.4,-15.7,-32.4,1021.3,81,0,50.1,0,,,,,,
5,-26.5,-16.8,-33.5,1021.4,77,0,50.1,1.3,3.5,,,,,
6,-22.1,-13,-30.5,1023.4,68,0,50.1,2.8,7.2,,,,,
7,-22.2,-11.9,-30,1024.8,69,0,50.1,1.5,7.2,,,,,
8,-22.6,-12.1,-30.6,1024.4,72,0,50.1,1.5,7.2,,,,,
9,-22.5,-12.4,-31.3,1022.3,62,0,50.1,0,,,,,,
10,-19.6,-17.5,-22.4,1017.7,85,0.25,23.7,0,,,,,,
11,-20.1,-10.2,-29.1,1020.5,82,0.25,48.8,1.3,3.5,,,,,
12,-22.2,-15.5,-29.1,1020.1,78,0,50.1,0.7,3.5,,,,,
13,-16.3,-12.9,-24.7,1010.1,87,0.51,21.6,0,,,,,,
14,-21.4,-16.3,-28.5,1015.7,73,0.76,44.4,5.2,7.2,,,,,
15,-21.9,-17.8,-28.5,1016.2,76,0,50.1,2.2,3.5,,,,,
16,-20.2,-16.2,-24.7,1017.5,73,1.02,33.8,6.7,10.7,,,,,
17,-24.7,-16.7,-33.9,1028.7,65,0,50.1,9.1,10.7,,,,,
18,-24.6,-15.5,-33.1,1029.9,62,0,50.1,5.4,7.2,,,,,
19,-19.8,-15.3,-21.3,1020.5,68,0,50.1,1.1,3.5,,,,,
20,-18.9,-11,-28.5,1017.5,72,0,50.1,3.5,10.7,,,,,
21,-19.8,-9.5,-31.9,1021.6,60,0,50.1,3.5,7.2,,,,,
22,-24.7,-16.1,-31.9,1022.1,78,0,50.1,0.6,3.5,,,,,
23,-23.5,-13.6,-32.7,1023.5,69,0,46.2,0.4,3.5,,,,,
24,-24.5,-14.4,-34.1,1023.5,70,0,43.9,1.3,7.2,,,,,
25,-19.6,-14.8,-21.5,1021.4,56,0,45.1,5.9,7.2,,,,,
26,-19.3,-14.4,-22.4,1029,59,0,31.2,5.7,7.2,,,,,
27,-23.4,-13.9,-31.6,1030.7,80,0.76,39.9,2.2,7.2,,,,,
28,-20.7,-17.3,-31.6,1022.2,79,0,50.1,0.9,3.5,,,,,
29,-21.1,-14.6,-28.6,1017.3,75,0,45.5,1.9,7.2,,,,,
30,-20.9,-13.8,-28.6,1010.9,64,0,50.1,5,10.7,,,,,
31,-20.9,-10.1,-25.4,1003,73,0,50.1,1.1,7.2,,,,,
