Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,17,27.5,6.7,,44,0,32.8,8.1,18,39.6,,,,
2,16.9,23.9,12.2,,56,0,34.9,7.6,10.7,,,,,
3,12.6,17.2,8.5,,80,,34.9,7.6,18,39.6,,,,
4,11.2,14.5,6.5,,78,14.48,34.9,3.1,7.2,,,,,
5,15.9,22.7,6.6,,59,0,34.9,5.9,14.4,,,,,
6,20.2,30.9,13.1,,45,0,,7.2,21.7,,,,,
7,12.3,13.9,10.4,,83,0,21.4,9.3,18,39.6,,,,
8,12.9,17.9,9,,81,0,29.9,8.1,14.4,,,,,
9,24.8,31.7,17,,32,0,32.8,11.9,18,46.9,,,,
10,22.5,27.4,15.2,,41,0,38.6,9.1,18,,,,,
11,19.9,25.2,13.9,,59,0,38.6,7.8,10.7,,,,,
12,19.3,26.9,13.5,,53,0,34.9,6.3,10.7,,,,,
13,19.7,23.7,14.7,,56,0,31.2,9.4,14.4,39.6,,,,
14,18.1,23.4,13.9,,47,0,34.9,7.2,21.7,39.6,,,,
15,18.2,25.7,10.4,,39,0,34.9,5.9,7.2,,,,,
16,20.8,27.7,11,,35,0,36.7,6.7,10.7,,,,,
17,20.4,28,12,,38,0,45.1,6.3,10.7,,,,,
18,19.9,27.7,12.5,,39,0,34.9,7.6,21.7,43.2,,,,
19,17.3,24.2,12.7,,52,0,34.9,2.2,3.5,,,,,
20,14,18.9,11.2,,74,6.1,24.9,4.1,7.2,,,,,
21,12.5,15.9,10.4,,87,8.89,20,4.1,7.2,,,,,
22,12.8,17.4,9.4,,77,3.05,20,1.9,7.2,43.2,,,,
23,15.5,22.2,7.3,,74,0,32.8,6.1,14.4,,,,,
24,18.6,23.4,11.6,,66,0,34.9,9.8,18,,,,,
25,19.4,24.7,14.9,,61,0,34.9,9.4,14.4,46.9,,,,
26,18.3,24.4,12.3,,72,1.02,34.9,7.6,18,,,,,
27,17.2,22.2,13,,75,0,34.9,9.1,18,39.6,,,,
28,16.6,21.9,11.8,,68,1.02,29.9,3.1,10.7,35.9,,,,
29,16.5,23.5,10.2,,69,2.03,29.9,5.9,10.7,35.9,,,,
30,17.3,22.2,11.6,,73,0.76,34.9,5.9,10.7,35.9,,,,
31,19.4,24.5,10.9,,62,0,34.9,7.6,14.4,,,,,
