Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,21.4,26.8,12.8,1011.8,46,0,20,11.7,14.4,,,,,
2,21.6,25.6,17.8,1007.7,47,0,20,13.1,21.7,,,,,
3,22.6,29,15.6,1010.7,46,0,20,7.2,7.2,,,,,
4,18.7,25.7,16.5,1012.4,68,1.02,17.5,13.5,28.7,,,,,
5,16.2,19.6,14.2,1015.2,75,0.76,17.5,15.2,25.2,,,,,
6,20.9,26,15.5,1013.6,52,0,20,9.8,14.4,,,,,
7,23.6,29,16.4,1006.6,48,0,20,12.4,18,,,,,
8,20.4,29.5,14,1004,61,7.87,20,13.5,25.2,,,,,
9,20.5,24.2,14,1008.6,65,5.08,20,20.9,32.4,,,,,
10,26.1,31.6,18.4,1011.4,46,0,20,10.7,18,,,,,
11,25.5,32.8,19.8,1009.5,45,0,20,7.2,10.7,,,,,
12,21.7,25,16.4,1010.2,51,0.51,17.5,15.9,25.2,,,,,
13,15.1,16.4,13.8,1010.7,93,24.89,,10,14.4,,,,,
14,19.8,24,12.4,1013.9,62,0,20,13.7,21.7,,,,,
15,20.5,25.3,16.4,1015.4,51,0,20,7.2,7.2,,,,,
16,21.1,26.2,14.2,1013.3,47,0,20,10.7,32.4,,,,,
17,23.1,28.8,14,1010,46,0.25,20,14.4,32.4,,,,,
18,16.2,18.2,10.8,1013.1,54,0,20,23.3,35.9,,,,,
19,18.2,23.5,10.5,1015,50,0,20,8.1,10.7,,,,,
20,18,23.2,12.2,1016.4,51,0,20,13.7,25.2,,,,,
21,20.9,27.2,12.5,1018.8,48,0,20,8.7,10.7,,,,,
22,24.4,31.6,16,1017.1,42,0,20,9.4,14.4,,,,,
23,28,35.8,15.3,1011.8,39,0,20,15.4,28.7,,,,,
24,30.2,39.2,21,1011.4,38,0,20,9.8,21.7,,,,,
25,30.6,38.3,21.8,1011.5,35,0,20,7.2,7.2,,,,,
26,32.3,39.7,22.4,1008.3,31,0,20,8.1,10.7,,,,,
27,33.8,40.6,25.5,1009.2,29,0,20,13,18,,,,,
28,32.7,40.6,25.5,1008.6,29,0,20,9.8,14.4,,,,,
29,27.6,34.2,19.6,1009,34,0,20,14.4,21.7,,,,,
30,29.2,37,18,1009.3,32,0,20,11.9,18,,,,,
31,31.6,38.6,22,1007.7,30,0,20,14.4,32.4,,,,,
