Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,3.2,5,2,,,17.02,27.5,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,3,5,2,967.3,78,0,27.5,4.4,7.2,,,,,
11,5.3,10,1,957,74,9.91,34.9,18,25.2,,,,,
12,6.8,8,5,961.4,78,2.03,17.5,4.4,10.7,,,,,
13,6.2,10,3,961.5,75,0,22.4,9.1,18,,,,,
14,6.5,8,4,963.9,80,0,28.5,0,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,6.8,9,6,955.3,93,16,12.1,4.1,7.2,,,,,
19,12.8,18,6,954.8,53,0,34.9,12.6,18,,,,,
20,,,,,,,,,,,,,,
21,12.5,18,8,961.9,44,0,45.1,19.3,28.7,,,,,
22,,,,,,,,,,,,,,
23,10.3,16,8,959.5,75,0,15,7.2,10.7,,,,,
24,9.8,15,7,958,66,0,20,4.3,10.7,,,,,
25,6.5,15,6,955.5,69,0,34.9,23.3,32.4,,,,,
26,1.8,7,1,957.7,92,23.88,5.6,5.4,10.7,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,11.8,16,7,963.1,68,0,22.5,5.4,10.7,,,,,
