Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,11.3,20.7,5.7,1016.6,39,0,20,5.2,14.4,,,,,
2,12.3,21.4,2.3,1013.5,39,0,13.7,11.7,25.2,,,,,
3,9.2,17.5,2.5,1015.9,60,0,20,23.3,39.6,,,,,
4,6.6,13.9,-1,1022.1,51,0,20,14.4,25.2,,,,,
5,9.4,16.3,-0.6,1016.6,49,0,20,18,28.7,,,,,
6,6.1,12.7,0,1023.4,46,0,20,13.9,25.2,,,,,
7,10.3,18.4,-2.7,1017.6,32,0,20,15.4,32.4,,,,,
8,15.8,24.4,5.6,1006.8,34,0,20,7.6,14.4,,,,,
9,15.2,22.2,5.2,1005.7,46,0,20,10.7,21.7,,,,,
10,4.4,7.9,1.2,1016.4,75,,15.6,30,43.2,,,,,
11,5.3,11.3,0,1022.9,51,0,20,21.7,28.7,,,,,
12,5.7,10.7,-1,1024.9,51,0,20,15.7,21.7,,,,,
13,4.5,9.9,-1.9,1025.2,49,0,20,13.3,18,,,,,
14,5.7,12.3,-1.1,1021.9,41,0,20,7.2,10.7,,,,,
15,8.7,15.7,-2.1,1015.8,32,0,20,13.9,25.2,,,,,
16,11.6,16.8,1.1,1011.8,37,0,20,20.2,32.4,,,,,
17,14.1,19.5,8.7,1010,41,0,20,19.8,25.2,,,,,
18,11.6,14.8,9,1013.6,83,,18.3,7.2,10.7,,,,,
19,12.8,17.3,9.4,1016.3,80,0,20,11.9,21.7,,,,,
20,8.7,13.2,2.8,1018.8,52,0,20,25.2,46.9,68.3,,,,
21,8.3,15.8,-1.5,1017.7,44,0,20,10.4,18,,,,,
22,9.1,16.4,2.5,1013.1,54,0,20,16.7,46.9,57.6,,,,
23,8.4,12.4,1.6,1020.3,38,0,20,10.4,18,,,,,
24,7.7,9.5,3.9,1018.9,69,,20,10.7,18,,,,,
25,10.4,16.5,0.9,1021.9,51,0,20,12.6,28.7,,,,,
26,12.4,18.6,3.5,1022.3,43,0,20,12.6,21.7,,,,,
27,13.1,20.4,6.8,1025.8,35,0,20,21.7,32.4,,,,,
28,13.4,21.6,4,1027.2,35,0,20,10.4,25.2,,,,,
29,16.4,23.1,5.2,1019,26,0,20,21.7,39.6,57.6,,,,
30,19.5,25.8,12.8,1010.5,32,0,20,14.8,25.2,,,,,
