Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-3.2,7.9,-16.9,1026.5,36,0,50.1,8.7,18,,,,,
2,0.4,12.6,-14.6,1022.4,39,0,50.1,9.8,21.7,,,,,
3,4.4,14.3,-10.9,1012.9,42,0,50.1,15.4,21.7,,,,,
4,-3.5,4.1,-13.3,1017.5,33,0,50.1,21.1,39.6,,,,,
5,-2.5,2.2,-13.8,1018.9,31,0,50.1,14.8,28.7,,,,,
6,-5.1,2.8,-14.8,1021.1,30,0,50.1,11.9,21.7,,,,,
7,-4.8,3.6,-16.2,1022.3,51,0,50.1,8.7,21.7,,,,,
8,-2.2,8.1,-14.2,1025.3,35,0,50.1,4.4,7.2,,,,,
9,-0.7,8.2,-12,1025.8,34,0,50.1,9.8,21.7,,,,,
10,-1.1,9.5,-12,1018.9,36,0,50.1,7.2,18,,,,,
11,5.9,16.1,-1.8,1008.2,24,0,50.1,18,28.7,,,,,
12,-0.9,4.9,-7.1,1016.5,25,0,50.1,16.5,28.7,,,,,
13,-1,2.8,-7.8,1017.3,38,0.25,50.1,19.3,32.4,,,,,
14,5.3,16.7,-5.2,1005.2,27,0,50.1,13.9,28.7,,,,,
15,8.2,18.7,-6.9,999.8,27,0,50.1,13.9,28.7,,,,,
16,3.3,7.1,-3.9,1001.7,25,0,50.1,7.6,14.4,,,,,
17,-1.5,6,-10.9,1014.4,43,0,50.1,17.4,32.4,,,,,
18,1.7,11,-12.2,1015.5,27,0,50.1,9.8,14.4,,,,,
19,3.3,15.8,-7.4,1008,31,0,50.1,31.1,50.4,,,,,
20,-1.1,7.6,-10.4,1016.8,26,0,50.1,15.4,28.7,35.9,,,,
21,7.8,14.4,-4.2,1006.1,16,0,50.1,8.7,14.4,,,,,
22,2.7,10.6,-7,1010,54,2.79,50.1,11.7,25.2,43.2,,,,
23,-0.3,6.2,-8.4,1024.1,27,0,50.1,22,32.4,,,,,
24,0.6,9.8,-9.3,1024.2,25,0,50.1,4.6,7.2,,,,,
25,2.8,13.6,-7.7,1019.1,31,0,50.1,7.8,14.4,,,,,
26,6.1,15.2,-8,1013.1,36,0,50.1,13,28.7,,,,,
27,7.2,18.2,-5.2,1012.8,34,0,50.1,7.8,10.7,,,,,
28,9.9,20.6,-5.6,1009.5,28,0,50.1,9.8,18,,,,,
29,5.1,12.5,-3,1013.7,38,0.51,50.1,16.1,32.4,,,,,
30,7.4,16.8,-4.4,1013.9,34,0,50.1,16.5,32.4,43.2,,,,
