Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-15,-11.9,-19.6,1017.4,87,,16.7,7.2,14.4,,,,,
2,-13.4,-8.9,-19.7,1014.8,96,,16.3,6.1,14.4,,,,,
3,-7.4,-5.6,-9.8,1012.7,93,0,20,19.3,25.2,,,,,
4,-3.3,-1.3,-7.5,1009.5,93,,17.2,20.6,21.7,,,,,
5,-3.4,-1.8,-4.7,998.1,93,,14,19.3,21.7,,,,,
6,-3.2,-1.8,-4.8,988,95,,12.4,10.7,14.4,,,,,
7,-6.7,-3.7,-9.3,998.6,87,,14.6,15.6,25.2,,,,,
8,-14.1,-9.7,-18.9,1006.9,88,,18.3,10.7,21.7,,,,,
9,-11.4,-7.4,-19.1,992.2,94,,17.2,8.7,18,,,,,
10,-15.4,-11.7,-18.6,998.4,82,,31.4,19.1,25.2,,,,,
11,-20.7,-18.8,-22.3,1009.8,80,0,38.8,10.4,18,,,,,
12,-19.9,-15.3,-24.3,1010.8,85,,17.2,6.1,14.4,,,,,
13,-13.1,-11.4,-16.2,1003.6,87,,11.3,23.3,28.7,,,,,
14,-13.2,-11.3,-16.4,1001.5,86,,14,18,25.2,,,,,
15,-18.5,-15.8,-21.5,1006,81,0,20,17,21.7,,,,,
16,-23.2,-22.2,-24.7,1013.9,83,0,20,12.2,21.7,,,,,
17,-23.2,-22,-23.9,1015.8,80,0,37.2,14.4,18,,,,,
18,-21.9,-20,-23.7,1022.2,79,0,45.7,12.8,14.4,,,,,
19,-21.8,-18.6,-24.7,1022.6,81,0,28.6,14.4,18,,,,,
20,-20.8,-17.9,-24.7,1028.3,81,0,20,3.5,7.2,,,,,
21,-24.4,-20.8,-28,1039.5,75,0,20,4.4,7.2,,,,,
22,-24.8,-18.8,-29.7,1046.2,74,0,42.5,4.1,7.2,,,,,
23,-22.9,-17.5,-27.8,1050.5,73,0,23.8,2.8,7.2,,,,,
24,-21,-14.6,-27.2,1053.1,69,0,20,5,7.2,,,,,
25,-19.2,-14.4,-23.1,1053.2,66,0,20,9.1,14.4,,,,,
26,-19.1,-13.9,-23.5,1051,66,0,38.8,10.7,18,,,,,
27,-18.6,-13.6,-22.1,1050.7,63,0,38.8,6.7,10.7,,,,,
28,-18.4,-12,-23.1,1049.5,75,0,20,6.7,10.7,,,,,
