Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,3.3,8.9,-2.8,1019.6,51,0,50.1,13.3,31.3,,,,,
2,,,,,,,,,,,,,,
3,5,8.9,-2.8,,43,0,50.1,2.8,7.6,,,,,
4,3.9,10,-2.8,1015.3,58,0,50.1,11.1,18.3,,,,,
5,1.2,5,-1.1,1016.4,85,,,6.3,18.3,,,,,
6,-1,1.1,-2.8,,,0.51,38,17.4,29.4,,,,,
7,-3.6,-1.1,-7.2,1004.8,91,,1.3,10,18.3,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,-5.6,-3.9,-7.2,1022.1,,2.03,,2.8,7.6,,,,,
11,,,,,,,,,,,,,,
12,-9.6,-7.2,-12.2,1026.4,78,,32.5,4.6,7.6,,,,,
13,,,,,,,,,,,,,,
14,-4.7,-2.8,-7.8,1016.1,83,0.51,22.5,6.5,14.8,,,,,
15,-4.7,0,-10,1015,68,0,42.5,4.6,7.6,,,,,
16,-1.1,6.1,-7.2,1011.5,67,,34.9,6.5,14.8,,,,,
17,,,,,,,,,,,,,,
18,-4.8,-2.2,-6.1,1020.2,71,0.25,42.5,13,22.2,,,,,
19,-2.2,-1.1,-7.2,1023.7,67,0,50.1,16.5,18.3,,,,,
20,-3.5,-2.2,-5,1022.1,67,1.27,40.1,18,31.3,,,,,
21,-2.8,0,-5,1013.4,89,1.52,4,10.9,18.3,,,,,
22,-4.3,-2.2,-6.1,1010.9,87,3.3,20.3,7.4,18.3,,,,,
23,-8.5,-7.2,-11.1,1017.2,78,0.51,19.5,10.2,25.9,,,,,
24,-11.8,-8.9,-16.1,1016.8,69,0,42.5,1.9,7.6,,,,,
25,-11.5,-7.8,-13.9,1016,82,0.51,32.5,0,,,,,,
26,,,,,,,,,,,,,,
27,-8.6,-7.8,-10,1021.2,90,2.03,8.5,7.4,11.1,,,,,
28,-8.9,-7.2,-11.1,1027,87,0.51,8,2.8,11.1,,,,,
29,-10.8,-3.9,-16.1,1029.2,73,0.51,50.1,7.4,11.1,,,,,
30,-7.6,-6.1,-15,1028.8,81,0.51,12.6,9.3,11.1,,,,,
31,-6.2,-2.2,-7.8,1020.4,66,0.51,50.1,13,25.9,,,,,
