Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-22.9,-16.1,-27.8,1026.2,87,0,10,7.4,14.8,,,,,
2,-19.4,-12.8,-25,1023.9,87,,8.5,15.6,18.3,,,,,
3,-10.4,-6.1,-16.1,1014.9,97,,5.8,30.6,35.2,,,,,
4,-4,-1.1,-7.8,1005.2,,,5.6,25,29.4,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,-2.1,-1.1,-2.8,1010.8,94,,,14.8,18.3,,,,,
8,-8.5,-5,-12.8,1018.4,94,0,8,14.8,22.2,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,-14.4,-7.8,-17.8,1031.7,87,0,10,9.3,14.8,,,,,
12,,,,,,,,,,,,,,
13,-14,-7.8,-20,1035.4,86,0,10,20.4,22.2,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,-13.5,-7.8,-16.1,1039.1,79,0,15,13.9,22.2,,,,,
19,-10.3,-5,-13.9,1035.5,92,,8.5,,,,,,,
20,,,,,,,,,,,,,,
21,-9.7,-7.8,-12.2,1037,89,,6.9,12.8,18.3,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,-12.1,-6.1,-16.1,1028.1,91,,8.7,10.2,11.1,,,,,
25,-11.1,-8.9,-12.2,1026.8,92,,6.4,13,14.8,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
