Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-5.9,-5,-7.2,1020.5,90,0.51,9.3,15.7,29.4,,,,,
2,-6.7,-6.1,-7.8,1003.6,91,74.93,1.9,11.7,18.3,,,,,
3,-7.8,-2.8,-13.9,999.5,88,2.03,9.5,8.3,11.1,,,,,
4,-13.3,-10,-16.1,1007.2,89,1.02,6.9,3.7,7.6,,,,,
5,-15.4,-12.8,-17.2,1005.2,90,,5.3,2.2,3.5,,,,,
6,-9,-6.1,-11.1,987.8,88,1.02,3.9,20.6,31.3,,,,,
7,-1.6,0,-2.8,986.9,91,1.02,15.1,14.1,18.3,,,,,
8,-3.5,-2.2,-3.9,990.4,91,0.76,7.4,7.4,14.8,,,,,
9,-6.3,-3.9,-12.8,1004.5,79,0.25,15.9,16.5,31.3,,,,,
10,-9.3,-7.2,-15,1011.5,85,0.51,6.3,19.4,42.4,,,,,
11,-6.1,-2.8,-8.9,996.1,80,3.3,10.5,23,31.3,,,,,
12,-10.3,-7.2,-17.8,1016.7,79,1.02,6.3,18.7,31.3,,,,,
13,-16.6,-12.8,-22.8,1015.6,86,0.25,12.4,5.6,14.8,,,,,
14,-14.3,-11.1,-17.2,1018.5,82,0.51,10.9,10.6,14.8,,,,,
15,-11.5,-10,-18.9,1012.7,75,2.03,10,28,42.4,,,,,
16,-4.2,-2.2,-12.2,999.3,87,1.02,5.6,31.1,35.2,,,,,
17,-5.9,-2.2,-7.8,999.4,87,3.05,4,22.8,25.9,,,,,
18,-8.4,-6.1,-11.1,996.4,80,1.02,17.7,21.1,29.4,,,,,
19,-13.9,-12.2,-17.2,1003,79,1.52,10.8,12.2,18.3,,,,,
20,-24.2,-17.8,-27.8,1014.9,77,0.25,3.7,3,7.6,,,,,
21,-25.1,-21.1,-32.2,1019.7,79,0.51,4.5,2,3.5,,,,,
22,-22.7,-20,-23.9,1011.9,77,,9.8,13.7,18.3,,,,,
23,-23.5,-20,-26.1,1004.4,77,,11.7,10.2,14.8,,,,,
24,-21.4,-17.8,-23.9,1004.7,77,0.25,11.4,11.1,18.3,,,,,
25,-16.1,-12.8,-22.8,1001,74,0.25,13.2,8.1,11.1,,,,,
26,-3.4,0,-12.8,999.7,91,4.06,1.6,12,18.3,,,,,
27,-1.5,1.1,-10,998.9,90,2.54,7.1,17.8,22.2,,,,,
28,-16.6,-12.8,-20,1013.9,77,0.51,22,8.9,22.2,,,,,
29,-15,-12.2,-21.1,1017.5,73,0,13.2,19.4,29.4,,,,,
30,-8.3,-3.9,-15,1010.3,88,3.05,6,15.7,22.2,,,,,
31,-2.6,-2.2,-5,1007.2,92,3.05,2.1,3.7,11.1,,,,,
