Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-2.4,0.6,-14.3,1000.1,77,0,18,8.3,14.4,,,,,
2,-6.8,-3,-10.1,998.6,86,,8.9,15.6,21.7,35.9,,,,
3,-15.8,-10.8,-21.2,1005.6,89,0,17.5,15.9,28.7,43.2,,,,
4,-16.1,-11.2,-22,1008.4,78,0,23.7,13,21.7,,,,,
5,-8.7,-6.1,-22.3,1009.2,62,0,18.3,15.9,21.7,,,,,
6,-13.8,-6.1,-20.7,1021.2,65,0,20.9,8.1,10.7,,,,,
7,-14.8,-9.5,-21.1,1026.7,70,0,22.2,14.4,18,,,,,
8,-15.4,-7.7,-21.4,1030.6,74,0,22.9,11.3,14.4,,,,,
9,-14.5,-9.4,-22.1,1036.4,80,0,22,12.4,18,,,,,
10,-12.9,-8.8,-18.1,1034.6,74,0,24.8,19.8,35.9,50.4,,,,
11,-8.1,-5.7,-18.6,1029.7,81,0,11.4,16.5,32.4,43.2,,,,
12,-9.6,-4.7,-14.7,1028.9,87,0,15.4,13.3,28.7,35.9,,,,
13,-9.8,-3.2,-17,1020.3,73,0,20.4,10.4,25.2,,,,,
14,-8.3,-3.6,-16.6,1016.3,70,0,29.9,8.1,10.7,,,,,
15,-7.2,-2.6,-13,1013.1,80,0,23.3,10.7,18,,,,,
16,-8.4,-3.7,-14,1013.5,70,0,24.9,12.2,21.7,,,,,
17,-4.9,-2.4,-13.5,1011.9,72,0,19.8,14.8,21.7,,,,,
18,-7.9,-4,-14.7,1013.6,80,0,29.6,7.2,14.4,,,,,
19,-6.8,-3.7,-12.8,1015.7,79,,16.3,8.3,18,,,,,
20,-10.4,-5.1,-14.2,1021.5,82,0,25.7,11.3,14.4,,,,,
21,-6.2,-3.7,-16.2,1019.0,65,0,23.5,10.2,18,,,,,
22,0.9,3.1,-9.9,1008.3,51,0,20.6,16.1,25.2,39.6,,,,
23,-4,1.6,-7.4,1010.9,76,0,19.2,13.9,25.2,39.6,,,,
24,2.1,5,-9,1005.2,54,0,18.8,20.6,25.2,43.2,,,,
25,-5.7,-1,-11.2,1015.3,68,0,20.9,17,32.4,50.4,,,,
26,-5.1,-1,-11.7,1016.9,65,0,21.1,13,21.7,,,,,
27,-1.8,-0.7,-9.9,1011.9,53,0,21.1,12.2,21.7,39.6,,,,
28,-2.4,1.4,-5.2,1008.2,54,0,22.7,8.1,14.4,,,,,
29,-4.1,-0.4,-7.1,1010.5,74,0,20.1,17.4,21.7,,,,,
30,-8.1,-3.1,-12.6,1011.6,86,0,17.5,14.4,25.2,35.9,,,,
31,-2.5,-0.3,-13.6,1009.4,64,0,22.4,10.4,18,,,,,
