Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,-9.8,-6.1,-12.2,,83,0,4,13.9,29.4,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,-14.4,-12.8,-16.1,,60,0,28.5,26.3,42.4,,,,,
9,,,,,,,,,,,,,,
10,-11.7,-7.8,-12.2,,76,0,,42,61.1,,,,,
11,,,,,,,,,,,,,,
12,-12.6,-12.2,-13.9,,72,0,6.9,18,31.3,,,,,
13,-15,-12.2,-18.9,,65,,17.5,24.8,31.3,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,-7.2,5,-15,,45,0,8,16.7,29.4,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,-11.9,-11.1,-12.2,,80,0,,62.6,96.5,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
