Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-6.3,-2.4,-12.4,,85,0,10,2,7.2,,,,,
2,-5.1,-3.1,-8.4,,83,0,10,3.5,7.2,,,,,
3,-7.2,5.5,-13.3,,67,0,10,1.5,7.2,,,,,
4,-8.4,-2,-13.7,,81,0,10,1.9,7.2,,,,,
5,-6.4,-3.4,-11,,89,0,10,0.4,3.5,,,,,
6,-7.2,-4.3,-10.9,,82,0,10,1.5,7.2,,,,,
7,-10.3,-6.4,-14.4,,92,0,10,3.5,7.2,,,,,
8,-11,-4.7,-14.4,,86,0,10,1.9,7.2,,,,,
9,-12.1,-8,-16,,88,0,10,4.1,7.2,,,,,
10,-12.4,-7.5,-15,,88,0,10,3.5,7.2,,,,,
11,-12.2,-9,-14.8,,89,0,10,1.1,3.5,,,,,
12,-12.5,-8,-15.5,,84,0,10,1.3,3.5,,,,,
13,-12.7,-7,-17,,88,0,10,0.9,3.5,,,,,
14,-11.3,-8.6,-15.6,,89,0,10,2.4,3.5,,,,,
15,-10.4,-7.1,-14.5,,81,0,10,4.8,7.2,,,,,
16,-14.3,-9,-17,,78,0,10,4.4,7.2,,,,,
17,-14.5,-10.1,-18.6,,75,0,10,5.9,10.7,,,,,
18,-13.5,-10.5,-16,,72,0,10,2.8,7.2,,,,,
19,-12.1,-8.5,-15.6,,75,0,10,0.9,7.2,,,,,
20,-11.3,-8,-16.3,,84,0,10,1.9,7.2,,,,,
21,-7.7,-3,-13.5,,89,0,10,0,,,,,,
22,-4.2,0.3,-6.5,,83,0,10,1.5,3.5,,,,,
23,-6.3,-4,-7.3,,93,0,4.8,0.4,3.5,,,,,
24,-5.5,-4.5,-7.1,,93,0,5.8,1.1,3.5,,,,,
25,-5.4,-3,-7.2,,81,0,10,2.6,7.2,,,,,
26,-7.4,-3.4,-10.4,,78,0,10,6.3,10.7,,,,,
27,-7.6,-3.4,-13,,70,0,10,1.5,7.2,,,,,
28,-5.4,-2.2,-8.4,,73,0,10,2,7.2,,,,,
29,-6.1,-2.5,-8.5,,70,0,10,1.9,7.2,,,,,
30,-6.6,-3,-9.3,,70,0,10,1.9,7.2,,,,,
31,-4.9,4.3,-9.9,,62,0,10,2.6,7.2,,,,,
