Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,14,17.7,8.4,1013.3,69,0,29.8,3.5,7.2,,,,,
2,14.6,19.7,10.3,1015.1,79,0,23.2,3.1,7.2,,,,,
3,18.1,26.3,9.2,1013.8,67,0,18,5.2,10.7,,,,,
4,19.9,27.4,10.9,1012.9,62,0,36.7,5.2,10.7,,,,,
5,21.3,29.8,12.7,1012.1,56,0,32.8,8.7,21.7,,,,,
6,20.6,26.7,12.9,1014.2,66,0.76,35.2,4.8,10.7,,,,,
7,22.1,31.1,11.9,1009.1,58,0,18.8,3.1,3.5,,,,,
8,22.4,32.4,12.5,1004.4,62,7.11,20.1,7.8,14.4,,,,,
9,19.1,24.7,14.9,1009.9,77,0,26.4,5.9,10.7,,,,,
10,20.9,27,13.7,1012.9,65,3.05,20.1,5.9,10.7,,,,,
11,22.6,28.7,15.2,1011.5,57,0,29,4.3,7.2,,,,,
12,23.3,31,13,1005.7,59,0,24.8,3.5,7.2,,,,,
13,23.8,33.3,15.5,1006.5,52,0,25.9,13.5,25.2,,,,,
14,16.5,23.2,12.8,1013,80,1.02,21.2,10.2,14.4,,,,,
15,13.4,22.7,7,1017.4,69,0.51,50.1,8.1,14.4,,,,,
16,16.5,22.4,7.8,1016.2,57,0,42.8,4.4,7.2,,,,,
17,17.1,24,12.8,1010.1,58,0,38,5.2,7.2,,,,,
18,19.1,26.7,10.9,1004,54,0,36.9,7.6,14.4,,,,,
19,22.3,26.4,17.3,1005.2,54,0,43.9,10.7,14.4,,,,,
20,18.3,26.5,12.2,1006.7,66,0,40.1,10.7,14.4,,,,,
21,19.4,25.5,13.4,1007.6,58,0,31.2,5.4,10.7,,,,,
22,18.3,24.4,13.3,1008,61,0,31.2,8.5,10.7,,,,,
23,20.9,26.4,12.4,1003.6,54,0,23.8,6.7,7.2,,,,,
24,16.6,23.2,11.5,1002,77,0,21.4,6.3,14.4,,,,,
25,16.9,23.2,10.4,1004.4,72,18.03,31.2,3.5,7.2,,,,,
26,18.2,24,12.6,1007.8,68,0,24.3,1.1,3.5,,,,,
27,17.5,24.4,10.7,1008.4,69,3.05,22.9,3.5,10.7,,,,,
28,18.1,28,9.7,1002.4,64,0,25.3,9.4,18,,,,,
29,8.2,12.5,2.3,1014.8,69,0.51,40.1,13.1,25.2,,,,,
30,11.3,17.6,0.6,1008.6,67,0,23.2,5.9,10.7,,,,,
31,8.7,15.1,4.1,1012.7,69,1.02,34.9,10.4,25.2,,,,,
