Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,29.4,33.1,25.5,1011.5,75,0,20,4.1,7.2,,,,,
2,29.7,33.2,26.6,1011.4,73,0,20,8.5,18,,,,,
3,28.4,32.4,26.2,1012.2,77,0,20,6.7,10.7,,,,,
4,28.7,32.5,25.7,1012.1,75,0,20,4.4,10.7,,,,,
5,28.5,31.9,25.8,1011.0,73,0,20,4.1,10.7,,,,,
6,28.8,32.6,25.2,1010.0,70,0,20,5.9,14.4,,,,,
7,28.9,33.1,25,1010.2,70,0,20,3.1,7.2,,,,,
8,29.8,34,26.4,1010.0,67,0,20,3.1,7.2,,,,,
9,29.6,33.2,26.7,1010.4,72,0,20,6.3,7.2,,,,,
10,29.3,32.7,26.9,1010.4,76,0,20,7.2,14.4,,,,,
11,29.7,33.6,26.3,1010.4,73,0,20,4.1,10.7,,,,,
12,29.9,34.2,26.2,1008.4,74,0,20,5,10.7,,,,,
13,29.8,33.8,26.5,1007.9,75,0,20,4.4,10.7,,,,,
14,29,35,23.2,1008.4,80,0,20,3.1,10.7,,,,,
15,29.7,34.6,26.4,1009.0,72,0,20,4.4,10.7,,,,,
16,30.1,34.9,25.2,1008.9,71,0,20,5,10.7,,,,,
17,30.7,35.8,27,1007.6,69,0,20,4.1,7.2,,,,,
18,28.9,35.1,25.4,1008.2,76,0,15.9,3.5,14.4,,,,,
19,29.6,33.8,25.9,1009.8,75,0,20,3.1,7.2,,,,,
20,29.9,33.6,26.6,1010.4,72,0,20,5.2,10.7,,,,,
21,30,34.3,26.2,1008.7,74,0,20,6.7,10.7,,,,,
22,30.2,34.3,26.6,1007.4,75,0,20,4.1,10.7,,,,,
23,30.5,34.5,26.7,1007.8,72,0,20,2.8,7.2,,,,,
24,30.5,34.6,27.3,1008.3,72,0,20,4.1,10.7,,,,,
25,30.3,34.2,27.5,1008.8,74,0,20,4.8,7.2,,,,,
26,30.3,34.7,27,1008.0,73,0,20,5,14.4,,,,,
27,30.4,34.1,27.4,1007.5,72,0,20,8.1,18,,,,,
28,29.6,34,27,1007.6,77,0.51,20,5,10.7,,,,,
29,28.2,33.4,24.2,1006.5,83,75.95,18.8,7.6,14.4,,,,,
30,29.5,33.4,26.7,1005.7,80,0,20,6.1,14.4,,,,,
