Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,30.8,35.2,24.1,,68,0,11.3,6.5,11.1,,,,,
2,29.4,33.5,23,,74,,11.3,7,18.3,,,,,
3,30.1,33.5,23,,69,0,11.3,4.8,7.6,,,,,
4,30.3,34.6,23,,65,0,11.3,6.1,11.1,,,,,
5,30.5,35.7,23,,62,0,11.3,6.9,14.8,,,,,
6,31,36.3,23,,61,0,11.3,6.7,14.8,,,,,
7,29.6,34.1,21.8,,66,,11.3,8.1,14.8,,,,,
8,28.7,32.4,23,,68,0,11.3,6.7,13,,,,,
9,29.4,34.1,22.4,,67,0,11.3,6.5,9.4,,,,,
10,30.2,35.7,23,,60,0,11.3,8.7,14.8,,,,,
11,30.3,35.7,24.1,,65,,10.8,8.9,22.2,,,,,
12,29.4,34.6,24.1,,72,0,11.3,6.9,13,,,,,
13,29.7,34.6,24.1,,76,,10.1,7.2,33.5,,,,,
14,28.4,33.5,24.1,,82,0,10.9,7,27.8,,,,,
15,29.1,31.8,25.2,,77,0,11.3,9.8,16.5,,,,,
16,29.4,33.5,24.1,,74,0,11.3,4.3,7.6,,,,,
17,29.9,34.1,23,,70,0,10.9,5.4,7.6,,,,,
18,28.1,32.4,24.1,,77,,9.7,7.2,11.1,,,,,
19,28.2,33.5,23,,73,0,10.9,8.1,37,,,,,
20,28.6,32.4,22.4,,69,0,11.3,3.3,7.6,,,,,
21,26.6,30.2,21.8,,77,0,11.3,3.9,9.4,,,,,
22,28.2,32.4,23,,63,0,11.3,6.9,11.1,,,,,
23,27.7,31.3,23,,72,0,11.3,6.1,9.4,,,,,
24,29.1,33.5,23,,68,0,11.3,7.6,11.1,,,,,
25,26.9,30.2,22.4,,67,0,11.3,21.1,33.5,,,,,
26,24.9,27.4,20.2,,72,0,11.3,18.3,25.9,,,,,
27,25.5,29.6,20.7,,69,0,11.3,12.6,22.2,,,,,
28,25.8,28.5,21.8,,70,,11.3,4.1,11.1,,,,,
29,26.8,31.3,19.6,,64,0,11.3,5.7,14.8,,,,,
30,25.8,29.6,19.6,,69,0,11.3,7.4,14.8,,,,,
