Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,23.4,27.5,20.6,1012.3,86,0,18,,,,,,,
6,24.7,27.6,20.4,1010.4,83,0,20,7.2,10.7,,,,,
7,24.4,28.5,23,1010.1,89,0,15.6,,,,,,,
8,24.7,29.7,22.2,1010.1,84,0,13.5,6.5,7.2,,,,,
9,24.5,27.3,22.4,1013,85,0,20,,,,,,,
10,24.1,26.2,23,1016.2,89,0,16.3,,,,,,,
11,23.2,25.4,20.8,1018.4,90,0.25,18,,,,,,,
12,22.6,26.1,20.8,1019,92,0,17.5,,,,,,,
13,23.1,26.3,19.7,1016.7,84,0,17.4,,,,,,,
14,23.2,27,19.5,1015.2,83,0,20,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
