Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,26.3,28,24.6,1010.7,83,0,13.8,7.2,11.1,,,,,
2,26.3,28.5,25.7,1009.7,88,0,2.1,,,,,,,
3,26.4,29.6,24.6,1011.7,84,0,14.2,11.7,22.2,,,,,
4,25.7,28,23.5,1011.5,82,0,12.2,10.9,14.8,,,,,
5,26.9,29.1,25.2,1011.4,84,0,17.1,7,9.4,,,,,
6,26.8,28,25.7,1011.5,93,0,18.2,6.3,7.6,,,,,
7,27.2,29.6,26.3,1010.9,85,0,15.9,4.8,11.1,,,,,
8,27.1,29.6,25.7,1010.9,85,0,14.6,4.1,5.4,,,,,
9,27.4,29.6,25.7,1011.9,82,0,17.1,4.3,7.6,,,,,
10,27.7,31.3,25.7,1012.5,77,0,15,10.7,14.8,,,,,
11,27.8,30.2,25.7,1011.4,76,0,,,,,,,,
12,25.7,,,1011.8,,0,10.8,,,,,,,
13,27.4,30.2,25.7,1013,80,0,15.8,4.3,7.6,,,,,
14,27.4,30.2,26.3,1012.3,79,0,0.8,6.3,14.8,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,28.7,30.2,27.4,1010.7,,0,,,,,,,,
18,,,,,,,,,,,,,,
19,27.9,29.6,26.3,1013,,0,6.4,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,25.4,25.7,25.2,1010.9,,0,14.3,,,,,,,
25,27.6,30.7,26.3,1011.4,77,0,15.9,5,7.6,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,27.5,30.2,25.2,1011.8,79,0,17.9,2.4,5.4,,,,,
30,28.7,32.9,27.4,1010.8,80,0,19.5,1.7,5.4,,,,,
