Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,20.3,23.9,15.4,1015.5,82,0,13,7.2,14.4,,,,,
2,20.4,23.7,16.8,1019.3,74,0,14.8,3,3.5,,,,,
3,15.7,18.9,14.3,1018.8,87,9.91,7.6,4.4,7.2,,,,,
4,15.2,17,14.2,1018.6,92,0,9.7,12,21.7,,,,,
5,14.9,15.9,14,1019.2,80,0,13.4,6.3,18,,,,,
6,15.8,17.5,13.9,1018,84,0,11.4,4.1,7.2,,,,,
7,16.3,17.3,15.1,1017.2,94,,7.6,3.5,18,,,,,
8,14.2,18.8,12.1,1021,77,0,10.9,10.7,18,,,,,
9,12.1,13.3,11,1023.3,83,0,13.7,11.3,21.7,,,,,
10,11.4,13,9.7,1026.5,79,0,17.7,8.1,10.7,,,,,
11,10.4,12.1,9.8,1026.5,81,0,14.3,15.6,18,,,,,
12,11.8,13.3,9.6,1024.7,64,0,20,7.2,10.7,,,,,
13,12,13.4,10,1025.1,76,0,20,6.1,14.4,,,,,
14,13.3,14.3,12.3,1021.7,83,0,14,2.6,7.2,,,,,
15,14.3,24.9,12.2,1021.7,93,0,4.3,1.3,3.5,,,,,
16,16.8,20,14.3,1019.8,90,0,7.1,5.9,7.2,,,,,
17,17.6,20.7,15.6,1019.5,89,0,9.7,1.1,3.5,,,,,
18,15.9,16.7,14.5,1020.1,83,0,14.3,11.3,18,,,,,
19,14.1,16.3,11.8,1026.7,60,0,20,15.2,25.2,,,,,
20,12.2,13.8,11,1028.1,61,0,17.2,7.8,14.4,,,,,
21,9.2,10.3,7.4,1032.2,74,,13,12,25.2,,,,,
22,12.1,13.8,9.2,1031.1,52,0,20,5.4,10.7,,,,,
23,11.3,16.1,7.8,1028.6,66,0,12.7,1.9,14.4,,,,,
24,11.7,15.9,8,1026.5,72,0,9.5,2,7.2,,,,,
25,13.3,17.7,7.1,1026.4,63,0,10.8,2.6,7.2,,,,,
26,12.9,16.1,10.1,1024,77,0,6.4,3.5,7.2,,,,,
27,15.9,19.6,13.7,1022,71,0,8,4.3,7.2,,,,,
28,16.5,21.4,9.7,1016.2,81,0,8.4,3,7.2,,,,,
29,18.6,21.5,16.9,1011.9,74,0,18,9.4,14.4,,,,,
30,20.6,24.7,17.3,1010,83,0,6.6,6.7,18,,,,,
31,20.7,25.4,17.3,1008.5,88,0,9.7,11.3,18,,,,,
