Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,25.7,27.7,24.4,1011.0,94,64.01,6.3,13.3,21.7,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,22.9,24.3,19.9,1010.9,96,187.96,8.7,10.7,18,,,,,
5,25,26.5,23.5,1008.2,94,22.1,8.2,13.9,21.7,,,,,
6,24.4,28.8,22.2,1008.2,91,64.26,13.7,5.9,10.7,,,,,
7,23.2,24.3,21.7,1011.1,92,5.84,16.3,0.9,3.5,,,,,
8,23.5,25.4,22.1,1011.1,92,1.02,17.5,2.2,7.2,,,,,
9,24.8,27.9,22.7,1011.8,89,0.76,18.5,2,7.2,,,,,
10,25.6,29.6,22.7,1012.0,88,0.76,20,3.1,7.2,,,,,
11,26.1,30.3,22.1,1011.2,87,0,20,3.1,7.2,,,,,
12,26.2,30.8,22.9,1011.4,89,0,18.2,2.2,7.2,,,,,
13,25.9,30.4,23,1012.0,88,0,17.5,3.1,10.7,,,,,
14,25.3,29.3,22.1,1013.1,89,0.25,16.7,2.2,7.2,,,,,
15,24.6,25.9,21.7,1015.2,87,16,17.7,5,10.7,,,,,
16,24.2,27,20.5,1018.0,79,0,20,5,14.4,,,,,
17,23.7,27.6,20,1018.8,82,5.84,16.3,7.2,14.4,,,,,
18,22.9,26.8,19.2,1017.4,76,0,20,6.1,10.7,,,,,
19,21.9,27.3,18.7,1015.7,84,1.02,18,3.1,10.7,,,,,
20,22.8,26.9,18.1,1015.4,85,0,13.5,3.1,10.7,,,,,
21,22,23.5,21.1,1015.0,93,3.05,14.3,1.3,3.5,,,,,
22,22.9,23.4,21.4,1013.9,97,19.81,9.2,4.4,7.2,,,,,
23,24.4,26.3,22.4,1012.9,95,60.96,17.1,2.2,7.2,,,,,
24,25,28.8,21.5,1013.2,87,1.02,20,4.4,10.7,,,,,
25,23.7,28.9,20.4,1012.1,87,0,20,3.1,10.7,,,,,
26,23.8,28.8,20,1012.6,86,0,20,3.5,10.7,,,,,
27,24.8,28,19.9,1013.4,85,4.06,17.5,5,7.2,,,,,
28,23.9,27.1,22.8,1015.1,89,42.16,14,11.3,18,,,,,
29,21.2,23.7,18.5,1017.1,86,2.54,13.7,9.1,18,,,,,
30,20.3,28.9,17.8,1017.4,87,7.11,10.5,4.4,7.2,,,,,
