Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,30.3,36.3,20.2,,53,0,11.3,6.1,14.8,,,,,
2,29.9,35.2,21.8,,53,0,11.3,6.3,11.1,,,,,
3,30.8,36.3,21.8,,54,0,11.3,3.3,5.4,,,,,
4,29.6,35.7,20.2,,50,0,11.3,5.6,9.4,,,,,
5,28.9,34.1,19.1,,51,0,10.9,8.7,14.8,,,,,
6,28.4,34.1,19.1,,46,0,10.9,4.6,14.8,,,,,
7,28.9,34.6,19.1,,44,0,11.3,7.4,18.3,,,,,
8,29.2,35.2,19.1,,40,0,11.3,5,14.8,,,,,
9,29.3,35.7,19.1,,43,0,11.3,4.1,5.4,,,,,
10,30.8,36.3,21.8,,40,0,11.3,7,14.8,,,,,
11,29.2,36.3,18,,47,0,11.3,6.3,9.4,,,,,
12,28.9,32.4,23,,49,0,11.3,17,22.2,,,,,
13,27.7,32.4,21.8,,57,,10.1,10.6,14.8,,,,,
14,27.1,29.6,21.8,,60,0,11.3,19.8,27.8,,,,,
15,28.5,33.5,19.1,,54,0,11.3,4.3,7.6,,,,,
16,25.9,30.2,21.8,,64,0,11.3,15.6,24.1,,,,,
17,25.2,30.2,16.3,,60,0,11.3,15.4,25.9,,,,,
18,25.8,32.4,15.7,,59,0,11.3,6.5,11.1,,,,,
19,27.4,35.2,20.2,,63,0,10.9,6.7,9.4,,,,,
20,28,34.6,20.7,,64,0,10.1,4.4,9.4,,,,,
21,27.8,35.2,20.2,,67,0,7.1,5.2,18.3,,,,,
22,27.2,36.3,18,,59,0,10.3,4.1,7.6,,,,,
23,27.7,36.3,18,,54,0,11.3,5.9,11.1,,,,,
24,27.1,35.2,19.6,,65,0,11.3,5.2,9.4,,,,,
25,27.4,36.3,19.1,,56,0,11.3,6.1,13,,,,,
26,27.5,34.6,20.2,,63,0,10.6,5,13,,,,,
27,27.8,34.6,21.8,,67,0,8.2,3.9,5.4,,,,,
28,28.6,35.7,21.8,,68,0,10,7,18.3,,,,,
29,28.2,35.2,21.8,,73,0,8,5.2,18.3,,,,,
30,26.2,32.4,20.7,,77,0,7.9,6.9,27.8,,,,,
31,26.2,32.4,20.7,,73,0,9.5,5.6,22.2,,,,,
