Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,27,31.5,25.6,996.2,84,10.16,12.2,5.2,7.2,,,,,
2,26.2,28,25.3,992.5,94,79.5,6.3,12.8,39.6,,,,,
3,25.9,27,24.9,998.3,88,183.13,9,8.7,14.4,,,,,
4,26.3,29.2,24.9,1001.6,90,88.9,8.9,7.2,10.7,,,,,
5,28.7,32.5,25,1003.6,83,0,20,,,,,,,
6,29.7,32.7,26,1003,81,0,20,,,,,,,
7,30.5,34.6,26.6,1000.1,75,0,20,,,,,,,
8,29,33.5,26,1000.2,84,0.25,16.3,,,,,,,
9,30.1,33.9,26.8,999.7,84,0,18.8,,,,,,,
10,30.9,35,28,1000.6,81,0,20,6.3,10.7,,,,,
11,30.8,34.2,27.9,1000.9,83,0,20,,,,,,,
12,31.2,34,28.1,1001.6,83,0,20,6.3,7.2,,,,,
13,31.4,34.6,28,1001,83,0,20,,,,,,,
14,29.2,34,26.4,1002.1,81,0,20,,,,,,,
15,29.7,34.5,26.3,1001.8,84,9.4,15,,,,,,,
16,28.7,33.4,26.2,1002.9,85,0.51,18.8,,,,,,,
17,27.8,30.2,25.6,1004.3,88,56.9,16.7,3.5,3.5,,,,,
18,29.2,32.8,26.9,1003.3,87,0,20,,,,,,,
19,28.4,32.9,26.5,1003,86,1.02,13.7,,,,,,,
20,29.9,34,25.8,1003.6,80,0.51,15,7.6,14.4,,,,,
21,27.9,32,25.3,1005.6,88,66.55,15.3,,,,,,,
22,28.3,32.4,25,1006.5,84,28.96,20,,,,,,,
23,29.1,33.6,25.6,1006.8,82,0,20,,,,,,,
24,28.7,33.2,26.2,1004.3,82,0,20,,,,,,,
25,30.2,34,26.1,1002.8,83,0,20,6.3,10.7,,,,,
26,27.4,30.5,24.2,1003.8,92,0.51,16.3,,,,,,,
27,27.4,30.5,23.8,1006.5,90,91.95,12.7,,,,,,,
28,29.7,33.2,26.2,1005.9,80,1.02,20,1.9,3.5,,,,,
29,29.6,35.2,26.3,1002.9,80,11.68,13.7,9.1,21.7,,,,,
30,27.8,31.2,25.6,1004.8,85,5.08,11.7,10.4,18,,,,,
31,26.1,27.7,23.8,1006.4,91,173.23,11.3,1.9,3.5,,,,,
