Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,28.3,31.1,25.4,1005.2,74,0.25,20,0.9,7.2,,,,,
2,27.8,30.5,26.2,1005.5,80,0,20,0.9,7.2,,,,,
3,27.8,30.9,25.4,1006.1,79,0,18.8,1.9,7.2,,,,,
4,29,32.9,25.2,1005.4,75,1.52,20,5.4,18,,,,,
5,28.9,31.9,26.8,1005.9,80,0,20,2.2,7.2,,,,,
6,28.6,32.7,26,1006,78,1.78,18.5,1.5,3.5,,,,,
7,27.8,30.8,24.7,1006.6,77,0,20,6.1,14.4,,,,,
8,27.6,30.4,24.4,1005.6,80,0,20,4.1,18,,,,,
9,28.2,32.1,24.8,1003.9,78,0,20,0.6,3.5,,,,,
10,28.8,33.6,25.9,1003.6,79,0.25,20,2.8,10.7,,,,,
11,29.2,33.3,25.4,1003.1,73,0.25,20,5.2,18,,,,,
12,31.1,35.6,25.1,1002.2,65,1.52,20,4.3,10.7,,,,,
13,30.4,35.8,27.4,1001.9,70,0,20,5.2,21.7,,,,,
14,30.4,35.5,27.6,1003.3,72,0,20,5.2,14.4,,,,,
15,30.5,34.7,26.8,1005.3,73,0,20,3.1,7.2,,,,,
16,28.7,33.3,25.8,1006.8,77,0,20,3.5,10.7,,,,,
17,29.2,33,25.5,1007.1,77,0,20,7.8,18,,,,,
18,27.4,32.4,25.2,1008.6,85,0,20,2.4,7.2,,,,,
19,27.9,32.2,24.9,1009.6,80,0,20,6.1,18,,,,,
20,27.7,31.8,24.8,1009,82,0,20,1.9,10.7,,,,,
21,28.9,33.4,26.3,1008.5,81,0,20,4.8,18,,,,,
22,29,32.8,25.7,1008.5,75,0,20,3.5,14.4,,,,,
23,28.7,33.1,25,1009.4,76,0,20,1.9,10.7,,,,,
24,29.4,33.5,25.2,1009.6,74,0,20,0.9,3.5,,,,,
25,29.9,33.1,25.8,1009.4,73,0,20,4.3,14.4,,,,,
26,29.7,33,26.1,1008,73,0,20,5.2,14.4,,,,,
27,29.3,33.1,26.1,1008.2,75,0,20,3.1,10.7,,,,,
28,27.4,31.5,23.6,1008.1,80,5.59,18.8,3.5,7.2,,,,,
29,26.5,29.8,24.4,1008.6,85,2.29,18.8,2.2,10.7,,,,,
30,27.9,32.1,24,1007.9,76,1.02,18.8,6.7,18,,,,,
31,29.2,33.4,24.6,1006.8,71,2.03,20,1.9,7.2,,,,,
