Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,27.5,30.9,24.4,1010.3,78,0,20,11.3,21.7,,,,,
2,28.1,31.8,24.5,1009.9,77,0,20,10.7,25.2,,,,,
3,27.8,31.8,25,1010.8,77,0,20,9.1,21.7,,,,,
4,28,32.7,24.1,1010.1,79,0,20,11.7,25.2,,,,,
5,27.9,32.3,25,1010.5,79,0,20,12.2,25.2,,,,,
6,27.7,32,24.4,1010.8,78,0,20,9.8,25.2,,,,,
7,27.8,32.2,23.9,1010,78,0,20,11.7,25.2,,,,,
8,27.9,31,24.4,1009,78,0,20,12.6,25.2,,,,,
9,28.2,32.4,24.6,1009.8,73,0,20,9.8,21.7,,,,,
10,28.6,32,24.2,1010.1,75,0,20,14.4,39.6,,,,,
11,29,31.8,25.5,1010.4,76,0,20,20.2,32.4,,,,,
12,28.2,32.6,24.7,1010,78,0,20,14.4,25.2,,,,,
13,27.7,30.9,24.2,1009.3,74,0,18.8,9.4,21.7,,,,,
14,24.8,27.2,23.7,1008.2,89,11.94,15,5,10.7,,,,,
15,26.5,29.3,23.5,1009.2,88,5.08,15.6,9.4,25.2,,,,,
16,27.5,30.4,25.4,1010.8,88,1.02,20,9.8,18,,,,,
17,28,31.2,25,1011,83,0,20,8.5,18,,,,,
18,27.9,31.2,24.4,1010.4,79,0,20,12.6,25.2,,,,,
19,27.9,31,24.2,1010.6,78,0,20,17,35.9,,,,,
20,28,31.5,25.4,1011.1,76,0,20,14.8,35.9,,,,,
21,27.8,30.4,25.4,1011,80,0,20,9.1,14.4,,,,,
22,27.7,31,24.4,1010.4,81,0,20,10.4,21.7,,,,,
23,27.7,31,24.7,1010.1,80,0,20,10.4,25.2,,,,,
24,27.9,31.7,25,1010.9,78,0,20,14.8,28.7,,,,,
25,27.7,30.9,24.1,1011.8,76,0,20,17.6,28.7,,,,,
26,27.8,31.5,23.3,1011.2,75,0,20,14.4,25.2,,,,,
27,27.9,32.5,24.5,1010.7,76,0,20,19.8,39.6,,,,,
28,27.6,31.2,24.2,1010.7,74,0,20,16.1,28.7,,,,,
29,27,31,23.5,1010.6,75,0,20,16.7,35.9,,,,,
30,26.9,31.7,22.6,1010.5,72,0,20,18,35.9,,,,,
