Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,28.4,31.5,25.1,1010.9,84,0,20,10.7,21.7,,,,,
2,27.8,29.5,24.6,1010.7,82,2.03,17.7,15.4,25.2,,,,,
3,27.9,30.4,24.9,1011.2,83,0,20,14.8,21.7,,,,,
4,27.6,28.8,25,1010.5,82,14.99,18.8,13.5,43.2,,,,,
5,27.7,29.3,23.8,1009.8,82,11.68,17.7,27,46.9,,,,,
6,26.9,28.8,24.7,1009.3,89,25.4,14.3,26.5,43.2,,,,,
7,26.4,28.6,24.1,1008.5,91,45.97,14.3,20.2,28.7,,,,,
8,26.9,28.9,23.8,1009.3,86,41.15,20,18,28.7,,,,,
9,26.8,29,24.2,1011,87,0,20,13.5,21.7,,,,,
10,27.6,29.8,23.8,1011,83,0,20,7.2,14.4,,,,,
11,28.1,29.8,24.4,1009.5,82,4.32,20,17.6,25.2,,,,,
12,28.2,30.9,25.4,1008.2,84,0,18.8,13.5,21.7,,,,,
13,28.3,29.6,25.4,1009.6,83,1.27,20,16.1,25.2,,,,,
14,29.3,31.8,27.4,1010.2,82,0,20,17,21.7,,,,,
15,29.4,31.1,27.9,1008.6,82,0,20,19.3,21.7,,,,,
16,29.3,31.5,28.3,1007.4,82,0.51,20,16.7,18,,,,,
17,29.3,31.5,28,1007.5,81,0.51,18.8,24.8,28.7,,,,,
18,29.1,29.6,27.5,1008.8,81,0,20,21.1,28.7,,,,,
19,28.9,30.7,27.4,1009.7,79,0.51,20,13.9,21.7,,,,,
20,26.7,30.9,24,1010.3,87,1.52,20,10.7,28.7,,,,,
21,28.6,31,23.6,1009.4,80,0,20,9.4,14.4,,,,,
22,29.2,30.5,28.4,1008.8,81,0,20,19.3,25.2,,,,,
23,28.1,30.2,26,1008.8,84,14.99,20,15.7,25.2,,,,,
24,27.8,29,26.5,1008.9,83,17.53,18.5,22,32.4,,,,,
25,25.8,29.1,24.2,1009.1,91,10.67,12.1,21.1,28.7,,,,,
26,26.9,28.2,24.9,1009.3,83,21.34,18.8,22,28.7,,,,,
27,26.8,28,24.3,1009.7,86,28.19,18,27.4,35.9,,,,,
28,24.6,28.3,23.7,1009.8,91,4.32,16.6,13.5,50.4,,,,,
29,28.3,30.3,23.4,1008.9,81,0.25,20,14.8,18,,,,,
30,28.6,30.3,27.9,1009.1,81,0,20,18.5,25.2,,,,,
31,27.9,30.4,25.8,1009.3,84,0,20,5.7,10.7,,,,,
