Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,22.7,25.7,20.2,1016.9,89,,22.9,13.9,24.1,,,,,
2,20.3,21.3,19.6,1017.3,98,,9.2,7.2,11.1,,,,,
3,20.1,20.7,19.1,1018.5,98,,13,4.4,9.4,,,,,
4,21.8,24.6,19.1,1020.3,76,,17.5,13.9,25.9,,,,,
5,19.9,23.5,17.4,1020,82,,19.8,15.7,24.1,,,,,
6,19.3,23,16.3,1017.3,80,0,19.2,8,20.6,,,,,
7,19.9,25.2,15.7,1015.8,84,0,19.5,5.9,16.5,,,,,
8,21.1,26.3,16.9,1016,78,0,23.3,6.1,16.5,,,,,
9,21.6,26.3,17.4,1016.1,82,0,28,5.9,16.5,,,,,
10,21.3,26.3,18,1017.2,80,0,28.6,11.1,24.1,,,,,
11,21.6,23.5,19.6,1016.8,87,,19.5,8.7,18.3,,,,,
12,22.6,25.7,19.6,1017.9,86,,19.8,12.6,20.6,,,,,
13,21.2,23,19.6,1018.3,95,,10.6,9.1,16.5,,,,,
14,22.2,24.6,20.2,1017.8,91,0,13.2,10.7,20.6,,,,,
15,22.2,25.2,19.6,1016.9,88,,13,10.2,16.5,,,,,
16,21.5,23,19.6,1015.9,98,,7.7,5.4,7.6,,,,,
17,22.7,25.7,20.7,1017,91,,16.9,9.6,24.1,,,,,
18,22.8,25.2,21.3,1018.1,89,0,15.3,15.9,24.1,,,,,
19,22.2,23.5,20.7,1016.7,92,,13.4,14.6,24.1,,,,,
20,21.9,24.1,20.2,1015.9,91,,15.4,5.7,9.4,,,,,
21,21.8,25.2,19.6,1017.1,85,0,20.1,8.5,18.3,,,,,
22,21.3,24.6,18.5,1018.2,89,0,15.9,7.4,13,,,,,
23,21.2,25.7,18,1016.8,87,0,20.6,8.3,18.3,,,,,
24,21.8,26.3,16.9,1014.8,81,0,21.6,5,11.1,,,,,
25,21.7,29.1,17.4,1013.6,81,0,21.1,5,16.5,,,,,
26,22.5,28,18,1013.4,82,0,23.8,5,11.1,,,,,
27,24.5,29.1,19.1,1012,83,0,27.8,6.5,16.5,,,,,
28,24.9,28.5,22.4,1011.2,92,0,23,10.4,24.1,,,,,
29,25.3,29.1,22.4,1011.3,88,0,24.1,11.1,18.3,,,,,
