Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,24.9,29.2,21.7,1012.6,79,0,20,5.9,10.7,,,,,
2,25.4,29.5,20.7,1012.9,71,0,20,6.7,10.7,,,,,
3,25.4,29.5,23.1,1012.8,76,0,20,7.2,10.7,,,,,
4,25.4,29.7,22.6,1011.2,77,0,20,6.3,10.7,,,,,
5,25.4,29.5,21.6,1011.6,79,0,20,7.8,10.7,,,,,
6,25.6,30,21.7,1013.4,79,0,20,6.3,10.7,,,,,
7,25.7,30,23,1014.8,78,0,20,6.3,10.7,,,,,
8,24.7,28.5,22.2,1014,79,0,20,6.7,10.7,,,,,
9,23.8,27.2,21.6,1013.8,87,12.7,17.5,4.4,7.2,,,,,
10,24.9,28.9,21.8,1012.9,80,0.51,20,6.7,10.7,,,,,
11,25.2,29.5,21,1014.4,79,0,20,6.7,10.7,,,,,
12,24.4,26.5,22.8,1016.6,78,5.08,20,9.1,10.7,,,,,
13,23.4,26.2,21.6,1018.7,78,3.05,20,10.4,14.4,,,,,
14,23.1,26.5,21,1018.9,83,2.03,20,10.4,14.4,,,,,
15,23.7,26.4,21.2,1017.9,77,3.05,17.5,11.3,18,,,,,
16,23.6,25.8,22.2,1018.6,78,2.03,20,13,18,,,,,
17,22.7,24.3,21.2,1018.4,80,2.03,18.8,11.3,18,,,,,
18,21.5,24.2,20.1,1016.2,93,5.08,11.7,12.2,18,,,,,
19,23.3,24.7,20.6,1013.3,94,18.03,12.1,13.5,25.2,,,,,
20,24.6,25.7,23.4,1013.3,95,49.02,17.5,13.9,35.9,,,,,
21,24.8,28.2,22,1013.8,95,7.87,20,7.2,14.4,,,,,
22,26.1,28.9,24,1015.3,87,0.25,20,7.2,14.4,,,,,
23,25.6,28.7,23.5,1015.8,83,0.25,20,6.3,10.7,,,,,
24,24.8,28,23,1015.9,79,1.02,20,9.4,14.4,,,,,
25,23.7,26,22.6,1016.3,77,0,20,9.1,18,,,,,
26,24.4,27.5,22.3,1016.6,80,0,20,10.7,14.4,,,,,
27,24.5,28.4,22,1015.6,77,0,20,8.1,14.4,,,,,
28,25.3,29.5,21.6,1015,80,0,20,5.4,10.7,,,,,
29,25.2,29.5,23,1015.3,84,0,20,3.5,10.7,,,,,
30,24.8,27.8,22.3,1014.9,82,0,20,4.8,18,,,,,
31,25.6,28.3,21.5,1014.6,78,0,20,10,14.4,,,,,
