Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,26.8,30,24.9,1010.9,84,1.52,17.5,5.4,7.2,,,,,
3,26.9,31,25,1011.2,86,0.76,20,1.9,7.2,,,,,
4,26.1,29.9,25.1,1010.2,89,1.02,20,1.9,7.2,,,,,
5,26.6,30.1,24.7,1010.3,87,0,20,4.4,10.7,,,,,
6,26.8,30.8,25.1,1010.5,88,0,20,0,,,,,,
7,26.8,30.3,25.4,1010.5,84,0,20,8.1,14.4,,,,,
8,27.2,30.6,25.2,1010.3,85,0,20,9.1,10.7,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,26.7,30.3,23.8,1011.0,80,0,20,3.5,7.2,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,27.4,29.6,26.4,1013.8,79,0,20,18.9,35.9,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,26.3,27.7,24.5,1014.2,70,4.32,20,32.4,35.9,,,,,
23,25.1,26.8,24.4,1015.1,73,0,20,27,35.9,,,,,
24,25.6,27.2,24,1014.8,70,0,20,19.8,28.7,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,26.4,27.7,25.6,1016.1,78,0,20,23.3,35.9,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,25.5,27.3,24.7,1014.1,73,0.76,20,12.6,21.7,,,,,
31,,,,,,,,,,,,,,
