Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,25.6,28,22,1015.1,86,0,18,4.3,9.1,,,,,
2,25.6,27,23,1016.3,86,,16.7,11.7,16.5,,,,,
3,24.5,26,22,1015.7,78,0,17.5,10.6,16.5,,,,,
4,24,26,21,1016.1,82,0,16.7,5.7,16.5,,,,,
5,24,26,22,1016.6,86,0,15,11.1,24.1,,,,,
6,23.6,26,21,1017.1,83,0,15.9,11.7,33.2,,,,,
7,24,26,21,1015.8,74,0,20,12.4,24.1,,,,,
8,24.4,27,21,1015.3,77,0,20,10,24.1,,,,,
9,24.8,28,24,1014.7,78,0,17.5,12.4,24.1,,,,,
10,24.6,28,22,1015.5,84,0,18,7.6,16.5,,,,,
11,25.4,29,21,1015.8,77,0,18,16.3,24.1,,,,,
12,22.8,24,22,1015.2,91,,10,14.6,16.5,,,,,
13,23.4,27,21,1013.5,92,,8.4,0,,,,,,
14,23.8,27,21,1012.7,89,,15.9,5.2,16.5,,,,,
15,23.3,30,19,1012.8,86,0,15.1,0,,,,,,
16,24.3,28,19,1013.2,84,0,17.5,,,,,,,
17,26.8,30,22,1012,80,0,18,3.5,9.1,,,,,
18,25.2,27,24,1012.1,91,0,14,7.6,16.5,,,,,
19,,,,,,,,,,,,,,
20,26.8,30,21,1011.9,83,0,20,5.7,16.5,,,,,
21,26,28,23,1012.5,90,0,15,0,,,,,,
22,27.2,31,22,1011.2,81,0,16.7,2.6,9.1,,,,,
23,28,33,22,1009.8,,0,17.5,3.1,9.1,,,,,
24,27,31,21,1010.7,81,0,16.3,5.7,16.5,,,,,
25,25.4,29,20,1013.5,87,0,16.3,4.3,9.1,,,,,
26,24.7,28,21,1014.8,86,0,15,1.9,3.5,,,,,
27,25,29,21,1015.8,84,0,13.5,7.2,16.5,,,,,
28,26,27,24,1018.2,81,0,14,16.5,16.5,,,,,
29,25,27,23,1019.2,86,0,10.8,18.1,24.1,,,,,
30,25,26,24,1020.6,,0,,22.2,24.1,,,,,
31,24.2,27,21,1019.3,80,0,14,8.1,23.7,,,,,
