Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,26.4,28.5,23,,83,,11.1,7.2,14.8,,,,,
2,25,26.3,23,,84,,11.1,5.7,13,,,,,
3,26.4,29.1,24.1,,81,0,11.3,1.9,11.1,,,,,
4,26.7,30.2,24.6,,86,,11.1,2.6,11.1,,,,,
5,27.2,30.2,24.6,,82,0,11.3,2.4,11.1,,,,,
6,26.8,30.2,24.1,,80,0,11.1,2.6,11.1,,,,,
7,26.8,29.6,24.1,,80,,10.5,1.9,14.8,,,,,
8,26.7,30.2,24.6,,83,0,10.9,2.4,14.8,,,,,
9,27.6,30.7,25.2,,80,0,11.3,2.2,9.4,,,,,
10,27.6,31.3,25.2,,79,0,11.3,3.3,11.1,,,,,
11,26.1,30.2,23,,89,0,10.8,2,7.6,,,,,
12,26.8,31.3,23,,86,,10.5,2.2,7.6,,,,,
13,26.9,31.3,23,,86,0,11.1,1.1,5.4,,,,,
14,26.4,30.2,24.6,,88,,10.8,2.6,7.6,,,,,
15,26.6,31.3,24.1,,86,,10.8,2.6,14.8,,,,,
16,27.4,30.2,24.6,,76,0,11.3,8,18.3,,,,,
17,25.6,27.4,24.1,,88,,11.3,8.9,20.6,,,,,
18,27.2,31.3,24.1,,83,0,11.3,3.7,11.1,,,,,
19,26.9,30.7,24.6,,84,0,11.1,1.9,7.6,,,,,
20,26.8,31.3,24.1,,81,0,10.3,3,11.1,,,,,
21,26.9,29.6,24.1,,82,0,10.3,2.6,11.1,,,,,
22,25.6,29.6,22.4,,87,,10.8,1.7,9.4,,,,,
23,26.9,30.2,24.1,,80,0,11.3,2.6,14.8,,,,,
24,27.2,30.2,25.7,,84,0,11.3,2.8,7.6,,,,,
25,27.2,30.7,25.2,,83,,10.5,4.1,14.8,,,,,
26,27,29.6,23,,83,,10.9,5.6,11.1,,,,,
27,24.7,26.8,23,,93,,9.3,12.4,20.6,,,,,
28,26.4,29.6,24.1,,83,0,11.3,10.9,18.3,,,,,
29,27.2,29.6,25.7,,82,,11.3,12.4,22.2,,,,,
30,27.1,30.2,24.6,,80,0,11.3,10,18.3,,,,,
