Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,0,2,-3,1022.4,,0,17.2,15.9,25.2,,,,,
2,0.3,1.6,-1.5,1020.3,82,1.02,18.3,0.6,21.7,,,,,
3,-1.8,-0.7,-3,1020.7,83,0,14,13.3,39.6,,,,,
4,-2.3,4.4,-4.2,1028.6,64,0,20,10.4,18,,,,,
5,-3.9,-2.7,-6,1034.3,68,0,20,18,25.2,,,,,
6,-5.2,-0.3,-7.4,1035.1,76,0,16.6,10.4,32.4,,,,,
7,-6.7,0.9,-11.2,1039.5,81,0,4.3,1.9,10.7,,,,,
8,-5.9,-0.9,-10.5,1042.3,82,0,4,0,,,,,,
9,-4.4,1.8,-11.2,1040.1,78,0,4.8,0,,,,,,
10,-4.1,2.6,-8,1038.2,77,0,4.3,0,,,,,,
11,-3.1,2.4,-7.8,1037.4,83,0,5.3,0,,,,,,
12,-1.9,5.2,-6.1,1035.7,75,0,3.7,0,,,,,,
13,-1.5,3.1,-5.1,1033.2,81,0,3.1,0.6,3.5,,,,,
14,-1.6,3.6,-5,1028.3,82,0,4.5,0,,,,,,
15,-3.1,1.8,-6.2,1030.9,85,0,3.5,2.2,10.7,,,,,
16,-2.2,5.2,-7.1,1034.2,91,0,6,0.9,7.2,,,,,
17,0.3,8.7,-5.7,1031,81,0,5,1.9,7.2,,,,,
18,1.6,7.7,-1.6,1025,,0,4.8,0.4,3.5,,,,,
19,1.4,3.6,-1.5,1024.5,90,1.02,13.2,4.6,14.4,,,,,
20,-1.9,1.6,-4.6,1034.7,67,0,20,7.2,18,,,,,
21,0.2,6.3,-5.5,1035.6,62,0,15.4,2.8,7.2,,,,,
22,2.1,7.7,-2.1,1033.8,68,0,18,0.9,7.2,,,,,
23,2.3,7.5,-2.2,1034.1,78,0,15.4,3.5,14.4,,,,,
24,1.1,6,-3,1030.7,88,0,13.2,0,,,,,,
25,3.2,11.9,-1.2,1025.3,77,0,20,3,7.2,,,,,
26,4.5,9.6,-0.6,1023.6,84,0,18,7.2,21.7,,,,,
27,6.8,10.3,4,1022.3,89,2.03,20,11.5,28.7,,,,,
28,5.1,11.7,1.1,1028.4,87,0,15.4,5.2,14.4,,,,,
29,6.7,9,3.5,1024,76,0,18.3,12,18,,,,,
30,6.6,10.1,4.2,1018.6,84,2.03,13.4,1.5,7.2,,,,,
31,4.5,10.7,0.5,1022.2,88,0,12.4,1.1,7.2,,,,,
