Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,10.5,14.2,7.4,1015.1,94,9.91,11.3,0,,,,,,
2,12.9,17,10.5,1005.7,92,,10,13.1,21.7,,,,,
3,11.8,14,11.3,1010.6,92,5.08,12.9,4.3,10.7,,,,,
4,10.8,12,10.1,1016,96,35.05,14.8,0,,,,,,
5,9.8,10.4,9.1,1012.4,100,3.05,2.1,0,,,,,,
6,10.8,15.7,6.7,1007.3,90,0.25,13,8.1,28.7,,,,,
7,6.8,8.7,5.2,1013.9,73,7.11,20,0,,,,,,
8,7.4,10.2,5.6,1018.7,56,0,18.3,15,21.7,,,,,
9,6.5,8.3,4.4,1016.3,48,0,20,26.3,35.9,,,,,
10,6.4,9.9,3.7,1017.4,51,0,20,11.7,21.7,,,,,
11,7.1,10.3,2.4,1022.9,55,0,20,0,,,,,,
12,,,,,,,,,,,,,,
13,7,12.3,3.2,1022.5,71,0,20,0,,,,,,
14,4.8,10.2,1.4,1022.6,64,0,20,1.1,10.7,,,,,
15,2.9,8.2,0.7,1016.5,69,0,20,3.5,21.7,,,,,
16,1.4,3.4,0,1008.6,47,0,20,30.4,35.9,,,,,
17,2.9,4.4,1.8,1011.9,55,0,20,5.9,25.2,,,,,
18,2.7,8,-0.3,1021.5,48,0,20,2.2,10.7,,,,,
19,2.7,5.9,-1,1022.8,51,0,20,2.2,10.7,,,,,
20,1.6,5,0,1012,96,0.25,9.3,1.1,7.2,,,,,
21,4.2,8.1,0.5,1023.4,69,2.03,20,7.2,21.7,,,,,
22,,,,,,,,,,,,,,
23,1.8,9.5,-2.9,1028.3,78,0,20,0,,,,,,
24,2.4,9.4,-0.6,1023.3,85,0,20,0,,,,,,
25,4.7,11.2,-0.6,1024.3,66,0,18,5.7,18,,,,,
26,4.7,12.9,1.1,1029.3,55,0,20,0,,,,,,
27,3.9,10.5,0.4,1030.5,72,0,20,0,,,,,,
28,3.8,11.7,-0.5,1030.3,78,0,20,0,,,,,,
29,3.7,12,-0.4,1032.9,72,0,20,0,,,,,,
30,4.3,11,0.3,1034,77,0,20,1.9,10.7,,,,,
31,3.3,14,-0.4,1030.6,83,0,20,0,,,,,,
