Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,13.7,20,8,,96,,11.1,13.1,25.9,,,,,
2,13.4,21,8,,93,,9.5,4.8,22.2,,,,,
3,11.8,12,11,,100,,6.4,7.4,14.8,,,,,
4,12.7,19,8,,100,,9.8,12.2,48.2,55.4,,,,
5,13.2,17,8,,97,0,11.3,15,33.5,,,,,
6,12.4,17,8,,99,,9.8,10.7,22.2,,,,,
7,9.8,15,3,,99,,11.3,9.3,29.4,,,,,
8,5.2,12,0,,87,0,10.5,6.1,22.2,,,,,
9,3.2,11,-2,,81,0,9.7,2,7.6,,,,,
10,7.5,15,-1,,74,,11.1,9.1,14.8,,,,,
11,13.9,17,8,,69,,11.3,18,33.5,51.9,,,,
12,13.8,19,8,,65,,10.6,19.8,40.7,51.9,,,,
13,9.6,11,8,,99,,7.2,7.8,22.2,37,,,,
14,10.3,13,8,,100,,10.6,3.9,22.2,,,,,
15,9.9,15,7,,100,0,10.9,1.5,11.1,,,,,
16,10.3,15,7,,99,0,10.3,1.5,7.6,,,,,
17,14.3,18,7,,99,,9.5,16.7,29.4,48.2,,,,
18,11.8,16,9,,99,,11.1,9.3,37,,,,,
19,9.4,13,4,,100,,9.5,5.9,18.3,,,,,
20,6.9,15,2,,88,0,6.4,7.6,25.9,,,,,
21,7,12,1,,65,0,11.1,12.6,37,55.4,,,,
22,6.9,13,0,,61,0,10,12.8,33.5,37,,,,
23,5.6,14,-2,,74,0,10.1,10.2,22.2,,,,,
24,3.7,9,-2,,61,0,10.3,12.6,33.5,40.7,,,,
25,3.1,11,-3,,65,0,10.6,2.8,11.1,,,,,
26,4.2,8,2,,98,,10.5,1.7,14.8,,,,,
27,4.4,7,0,,100,0,11.3,0.7,7.6,,,,,
28,2.8,11,-2,,97,0,9.3,1.9,11.1,,,,,
29,1.8,10,-4,,85,0,9.2,3.3,14.8,,,,,
30,0.7,10,-5,,74,0,9.7,3.3,11.1,,,,,
31,1.4,10,-5,,77,0,10,2,11.1,,,,,
