Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,4.2,11.2,0.1,1020.4,94,44.96,,7.2,14.4,,,,,
2,2.2,6.7,-0.4,1023.1,97,0,,3.5,3.5,,,,,
3,1.6,3.9,-0.7,1018.1,95,5.08,,4.1,7.2,,,,,
4,-0.1,2.2,-1.6,1023.2,67,3.05,,5.7,10.7,,,,,
5,-0.1,2.8,-1.8,1027.7,85,10.92,,4.6,10.7,,,,,
6,-0.9,4.2,-3.7,1027.5,95,0,,3.5,3.5,,,,,
7,0.7,7.2,-3.5,1015.6,87,0,,4.8,10.7,,,,,
8,2.6,8.3,-0.3,1013.2,88,0,,4.6,7.2,,,,,
9,3.4,9.7,-3.6,1007.3,76,0,,4.3,7.2,,,,,
10,0.6,8.9,-1,997.2,85,12.19,,6.3,10.7,,,,,
11,0.1,4.2,-3.8,1008.3,75,0.51,,7,14.4,,,,,
12,-2.2,1.6,-6.2,1006.5,89,0,,4.6,7.2,,,,,
13,1.1,8.2,-2.1,995.9,81,0,,5.7,10.7,,,,,
14,0.6,5.1,-3.2,995.9,91,0.51,,3.7,7.2,,,,,
15,1.7,4.4,0.4,1008.2,92,0.51,,4.3,7.2,,,,,
16,1.7,4.4,-0.3,1029.5,81,0.25,,5.6,10.7,,,,,
17,-0.2,1.7,-1.1,1024.4,96,9.91,,4.8,10.7,,,,,
18,0.2,2.4,-1.5,1018.4,97,0.51,,4.4,7.2,,,,,
19,1.1,3.5,0.1,1018.7,91,5.08,,5,7.2,,,,,
20,1.9,5.9,-1,1022.8,63,0,,6.9,14.4,,,,,
21,4.1,8.9,-0.1,1017.3,97,32,,5,14.4,,,,,
22,6.4,16.6,-0.4,1013.4,77,0.25,,4.6,10.7,,,,,
23,6.1,11.2,2.6,1009.7,77,0,,4.1,7.2,,,,,
24,1.1,7.5,-3.2,1017.4,55,1.02,,7.8,14.4,,,,,
25,0.6,6.7,-3.9,1012,73,0,,6.5,14.4,,,,,
26,0.1,3.1,-2.3,1014,73,0,,6.1,10.7,,,,,
27,0.8,3.9,-0.9,1012.7,77,0,,5,7.2,,,,,
28,3.7,8.6,-0.3,1014.1,88,0.25,,5,10.7,,,,,
29,4.1,6.1,2.6,1010.7,94,8.89,,5,10.7,,,,,
