Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-2.5,1.6,-5.6,1033.1,87,0,4.8,9.8,18,,,,,
2,-2.3,1.2,-6.3,1034,66,0,17.4,13,21.7,,,,,
3,-2.9,-1.9,-3.6,1032.2,96,0,2.9,19.8,28.7,,,,,
4,-1.1,3.8,-3.9,1032.4,84,0,6.6,9.8,14.4,,,,,
5,-0.8,5.9,-4.9,1024.3,83,0,10.8,6.7,14.4,,,,,
6,-0.8,1.9,-2.7,1025.7,63,0,22.4,12.2,18,,,,,
7,-3.3,1.7,-8.3,1037.2,56,0,55,8.1,18,,,,,
8,,,,,,,,,,,,,,
9,0.2,7.6,-7.5,1023.2,64,0,18,7.6,14.4,,,,,
10,3.8,6.7,0.8,1019,91,1.52,8.2,7.6,10.7,,,,,
11,4.8,10.1,1.2,1019.8,70,0,28.8,11.7,18,,,,,
12,4.4,10.1,-1.3,1015.5,72,0,16.6,10.7,18,,,,,
13,5.6,11.2,-0.3,1010.3,69,0,10.9,6.3,14.4,,,,,
14,8.2,13.5,1.5,1015.5,63,0,64.1,4.4,7.2,,,,,
15,7.6,13.9,0.1,1018.4,78,0,12.2,9.8,18,,,,,
16,6.9,9.7,5,1011.8,96,2.03,8.4,25.2,32.4,,,,,
17,7.8,8.5,6.9,1003,99,3.05,0.2,18.5,28.7,,,,,
18,1.9,6.6,0.2,1016,98,17.78,1.9,17,21.7,,,,,
19,0.9,2,-0.3,1027.5,94,0,7.6,9.8,14.4,,,,,
20,0.2,3.6,-3,1033.5,81,0,15,9.8,21.7,,,,,
21,2.2,7.4,-0.8,1036.4,70,0,28,5,7.2,,,,,
22,4.2,11.8,-2.6,1036.7,61,0,31.5,6.3,10.7,,,,,
23,6.3,12.4,0.5,1036.5,70,0,22,10.7,18,,,,,
24,7.7,15,0.6,1033,52,0,47.6,8.5,10.7,,,,,
25,9.1,16.2,0.7,1019.8,61,0,19.8,10.4,21.7,,,,,
26,6.3,9.8,3.3,1013.8,76,0,10.5,9.8,14.4,,,,,
27,2.9,6.2,0.4,1017.3,89,0,9.3,7.6,18,,,,,
28,6.1,11.2,-0.7,1013.5,71,0,10.3,7.2,10.7,,,,,
29,7.1,13.9,-0.2,1017.2,63,0,19.2,5.9,7.2,,,,,
30,8.1,16.7,0.1,1017.3,66,0,20.3,4.1,7.2,,,,,
31,10.2,15.7,4,1020.5,69,3.05,31.1,8.5,14.4,,,,,
