Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-6.8,-5,-10.6,1028.6,84,0,2.7,18.7,25.9,,,,,
2,-3.6,-1.7,-5.4,1014.7,91,2.03,2.6,10.7,22.2,,,,,
3,-0.7,1.6,-2.1,1015.9,79,0,2.4,5.6,9.4,,,,,
4,0.6,5,-1.4,1015.8,74,0,3.4,5,14.8,,,,,
5,-2.3,3.8,-10,1016,88,0,2.4,4.1,11.1,,,,,
6,2.2,5.4,0.4,1015,76,0,4.3,14.8,24.1,,,,,
7,1.2,3.4,-0.4,1018.9,92,2.03,3.2,4.4,14.8,,,,,
8,3.9,4.6,3.2,1022.5,83,1.02,5.1,20.7,33.5,55.4,,,,
9,4.3,6.9,3,1020.7,81,0,3.2,7,18.3,,,,,
10,5.1,9,2.2,1021.6,78,0,3.2,3.9,9.4,,,,,
11,2.8,6.5,0.5,1023.7,87,0,3.1,8.3,14.8,,,,,
12,2.1,2.8,1.4,1023.5,94,1.02,3.7,5,7.6,,,,,
13,2.3,3.6,2,1021.2,96,0,1.9,5.4,5.4,,,,,
14,2.8,3.4,2.3,1027.4,97,0.25,2.1,1.9,3.5,,,,,
15,4,6.7,2.2,1031.3,89,0,2.4,2.6,9.4,,,,,
16,4.1,7.6,1.8,1030.6,73,0,3.1,10,22.2,,,,,
17,1.3,7.5,-2,1032.1,76,0,3.4,8.1,14.8,,,,,
18,0.6,8.1,-3.6,1028.7,71,0,3.7,1.5,5.4,,,,,
19,2.2,9,-1.6,1027.6,69,0,4,7.4,13,,,,,
20,2.6,10,-2.5,1025.9,68,0,8,7.4,14.8,,,,,
21,1.4,4,-0.1,1023.6,91,1.02,3.9,8.3,14.8,,,,,
22,4.3,8,0,1027.1,67,0,5,6.1,14.8,,,,,
23,3.4,9.5,-3,1016,66,0,9,8.5,27.8,,,,,
24,6.4,10.3,2,1005.3,62,3.05,9.2,13.5,22.2,51.9,,,,
25,7.1,10.4,3.8,998.5,61,1.02,21.7,13.5,37,66.5,,,,
26,6.4,11.3,0.5,1011.7,58,0,24.9,7.4,14.8,,,,,
27,8,15,1.2,1019.8,51,6.1,29.5,8,14.8,,,,,
28,10.3,19,3.2,1018.8,48,0,33.3,13.5,27.8,,,,,
29,8.6,11,6.1,1015.9,73,0,22.9,11.1,29.4,51.9,,,,
30,4.8,9.2,1.3,1014.6,74,6.1,20.6,3.9,14.8,48.2,,,,
31,6.8,16.2,1,1010.5,65,0,33.6,5,13,,,,,
