Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,15.2,21.6,11,1011.8,72,16,,4.4,10.7,,,,,
2,13.2,18.1,10.2,1017.8,83,2.03,,3.7,7.2,,,,,
3,14.9,21.5,11,1022.6,74,4.06,,4.3,7.2,,,,,
4,16.3,24.9,8.7,1025.6,71,0,,3.7,7.2,,,,,
5,19,27.4,11,1017.8,75,0,,4.1,10.7,,,,,
6,18.6,24.8,13.2,1014,79,0,,5.2,14.4,,,,,
7,15.9,21,14.7,1020.4,91,10.92,,3.5,10.7,,,,,
8,17.2,23.3,12.7,1026.7,77,0,,3.5,10.7,,,,,
9,16.2,24.1,9.9,1023.6,82,0,,3.5,10.7,,,,,
10,18.8,26.2,11.9,1018,73,0,,3.5,7.2,,,,,
11,19.6,25.6,15.1,1016.1,71,0,,4.6,7.2,,,,,
12,19.3,26.3,13.6,1019.7,71,0,,3.9,10.7,,,,,
13,19.2,26.8,12.5,1025.8,73,0,,3.3,10.7,,,,,
14,19.6,26.7,14.3,1027.6,73,0,,3.7,10.7,,,,,
15,18.8,26.9,12.2,1024,72,0,,3.9,10.7,,,,,
16,19.1,26,12.7,1018.9,73,,,4.3,10.7,,,,,
17,17.9,22.2,14.7,1019.4,84,10.92,,3.5,7.2,,,,,
18,16.2,21.8,13.1,1023.2,80,,,4.1,7.2,,,,,
19,15.3,20.8,10.6,1021.5,74,0,,3.7,10.7,,,,,
20,14.6,21.9,8.5,1017.5,76,0,,4.6,10.7,,,,,
21,16,23,9.2,1016.9,76,0,,4.6,10.7,,,,,
22,16.1,22.6,11.3,1014.4,85,1.02,,3.5,10.7,,,,,
23,15.3,20.6,12.5,1009.3,88,9.14,,3.1,7.2,,,,,
24,16.3,22.5,11.8,1009.6,83,,,3.3,7.2,,,,,
25,13.2,18.3,6.2,997.4,92,44.96,,5.9,21.7,,,,,
26,7.6,12.7,4.5,999.2,85,19.05,,3.9,7.2,,,,,
27,8.4,13.6,3.3,1007.6,81,,,4.1,10.7,,,,,
28,8.6,10.5,7.4,1009.3,93,14.99,,4.6,10.7,,,,,
29,10.1,16.3,6.1,1016.8,85,0,,3,7.2,,,,,
30,10.9,19.2,5.9,1015.1,80,0,,3.3,7.2,,,,,
