Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-1.2,9.5,-5,1023.2,87,0,,5,11.1,,,,,
2,,,,,,,,,,,,,,
3,6.1,10.4,2.8,1020.7,67,1.02,,2.6,5.4,,,,,
4,7.8,12.2,1.8,1010.7,61,0,,3,7.6,,,,,
5,3.7,4.4,2.8,1015.4,71,0,,6.1,9.4,,,,,
6,1.7,4.1,-1,1026.8,64,0,,4.8,9.4,,,,,
7,2.9,8.5,-1.8,1021.3,57,0,,1.9,3.5,,,,,
8,5.9,11.6,-0.5,1017.6,71,0,,3.7,7.6,,,,,
9,0.1,3.9,-2.7,1012.0,91,0,,1.1,1.9,,,,,
10,0.2,3.2,-3.6,1007.7,96,0,,1.1,3.5,,,,,
11,3.5,6.6,-0.8,1009.9,85,7.87,,3,7.6,,,,,
12,3.3,8.5,-1.2,1003.3,85,0,,3.1,7.6,,,,,
13,6.3,8.5,3.8,1006.2,61,0.51,,7.4,13,,,,,
14,3.4,6.7,-2.5,1002.3,67,0,,2.6,3.5,,,,,
15,3.4,4.8,2.1,1003.2,64,0,,5.9,9.4,,,,,
16,0.4,1.8,-1.3,1017.7,66,0,,4.8,9.4,,,,,
17,-2.4,1.6,-5.2,1025.7,78,0,,1.9,1.9,,,,,
18,-1.2,1.4,-6,1016.3,84,0,,2,3.5,,,,,
19,0.7,2.1,0,1010.4,89,2.03,,3.3,9.4,,,,,
20,-0.4,0.6,-0.8,1018.1,72,0,,8,11.1,,,,,
21,0.1,1.7,-1,1027.0,72,0,,6.3,7.6,,,,,
22,-3.5,0,-6.1,1038.4,71,0,,2.8,3.5,,,,,
23,-3.4,0.1,-6.5,1033.9,64,0,,5.7,9.4,,,,,
24,-6.6,-3.6,-8.4,1030.2,80,0,,3.3,5.4,,,,,
25,-7.6,-6.4,-8.2,1014.4,91,0,,3.5,5.4,,,,,
26,-2.8,10.1,-7.9,999.8,81,1.02,,3.3,11.1,,,,,
27,4.8,7.2,1.2,992.4,60,0,,4.8,11.1,,,,,
28,0.8,2.1,0.2,987.8,88,0.51,,3,5.4,,,,,
29,2.1,2.8,1.8,1009.5,77,0,,5.9,7.6,,,,,
30,1.9,2.9,1.2,1021.3,72,0.76,,7.2,11.1,,,,,
31,-1.5,2.6,-5.2,1025.8,73,0,,1.9,7.6,,,,,
