Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,25.9,31.9,21,,40,0,,18.3,25.9,,,,,
2,22.7,28.3,18.3,,58,0,,20.6,35.2,,,,,
3,21.9,30.8,19,,66,7.11,,12,25.9,,,,,
4,21.7,27.1,18.3,,64,0,,7.8,11.1,,,,,
5,22.8,29.2,17.5,,52,0,,9.4,18.3,,,,,
6,24.6,32,19.7,,50,0,,9.3,14.8,,,,,
7,20.2,30.1,17.2,,65,7.87,,8,24.1,,,,,
8,19.3,27.7,14.9,,73,3.05,,10.4,18.3,,,,,
9,19.4,24.3,14.7,,65,3.05,,13,25.9,48.2,,,,
10,22.3,29.1,15.9,,69,0,,13.1,24.1,,,,,
11,21.1,26.1,15.9,,59,0,,17.4,40.7,,,,,
12,15.5,21,12.7,,73,2.03,,19.6,31.3,,,,,
13,16.4,22.1,13.3,,68,0,,12.8,27.8,,,,,
14,13.9,18.6,11.2,,69,0,20,8.3,18.3,,,,,
15,14.6,20,10.4,,55,0,,14.3,20.6,,,,,
16,14.4,21.7,8.4,,65,0,,10.9,16.5,,,,,
17,17.2,23.4,13.3,,70,0,,10.4,22.2,,,,,
18,11.2,14.6,8.7,,80,3.05,,21.3,35.2,,,,,
19,12.8,17.3,10.3,,66,0,,12,20.6,,,,,
20,15.3,16.4,11.9,,75,0,,7.2,9.4,,,,,
21,18.3,24.2,13.8,,73,0,,8.3,13,,,,,
22,19.9,23.7,16.7,,69,0,,13.3,24.1,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,12.9,15.3,10.5,,69,1.02,,28.2,42.4,,,,,
27,15.7,20.6,12,,69,0,,12.8,20.6,,,,,
28,19,25.2,14,,63,0,32.5,8.9,16.5,,,,,
29,15.3,25.2,13.4,,85,9.14,19,9.3,24.1,,,,,
30,13.6,17.1,11.8,,87,0,,7.8,14.8,,,,,
31,18.3,23.2,12.6,,77,0,,10.6,18.3,,,,,
