Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,12.1,20.6,7.6,,78,0,,2.2,3.5,,,,,
2,14.4,24.1,7.6,,73,0,,3.1,7.2,,,,,
3,16.1,25.1,10.1,,74,2.03,,3.9,7.2,,,,,
4,13.9,19.9,11.9,,89,11.68,,2.4,3.5,,,,,
5,15.1,23.4,9.7,,73,0,17.5,2.6,7.2,,,,,
6,14.9,23.3,10.5,,74,0,15.4,1.9,3.5,,,,,
7,14.6,23.7,8.6,,72,0,17.5,3.1,3.5,,,,,
8,13.3,21.6,8.3,,75,0,16.3,3.5,7.2,,,,,
9,13,22.9,7.4,,74,0,17.1,3.1,7.2,,,,,
10,12.8,23.8,6,,72,0,18.2,2.6,3.5,,,,,
11,14.2,20.8,8.7,,79,0,16.3,3.1,3.5,,,,,
12,11.6,14.2,9.3,,95,13.97,9.8,2.2,3.5,,,,,
13,12.4,19.7,8.7,,79,2.03,13.7,2.6,7.2,,,,,
14,13.4,20.5,7.2,,72,0,16.3,4.1,10.7,,,,,
15,11.2,14.7,8.1,,92,6.1,,0.9,3.5,,,,,
16,8.3,9.5,7.4,,95,10.92,6.6,1.9,3.5,,,,,
17,9.2,16.3,7.6,,90,0.76,,2,3.5,,,,,
18,11.2,20.4,4.9,,77,0,,2.6,3.5,,,,,
19,12.4,21.1,7.1,,77,0,,2.6,7.2,,,,,
20,13.7,20.8,8.5,,79,0,17.5,2.4,3.5,,,,,
21,11.7,17.2,8.3,,85,0,,3.1,3.5,,,,,
22,9,14.7,5.1,,71,0,,3,7.2,,,,,
23,11.5,16.5,6.1,,92,6.1,,3.3,7.2,,,,,
24,6.4,8.7,4.2,,91,19.05,,1.5,7.2,,,,,
25,5.1,6.7,3.5,,93,8.13,,1.1,3.5,,,,,
26,6.3,9,4.3,,86,2.03,10.9,0.6,3.5,,,,,
27,8.7,13.3,5.3,,75,1.02,14.3,1.7,7.2,,,,,
28,9.8,15.3,6.4,,81,0,12.6,1.7,7.2,,,,,
29,9,14.3,4.2,,86,0.51,13.2,0.9,3.5,,,,,
30,11.3,17.2,8.4,,85,6.6,13.5,1.9,3.5,,,,,
