Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,20.3,24.9,16.8,1011,76,0,,5.9,7.2,,,,,
2,21.8,26.5,17.9,1010.4,75,0,,4.6,7.2,,,,,
3,21.1,26.9,16.9,1010.4,76,1.02,,5,7.2,,,,,
4,19.7,24.7,15.2,1013.6,76,0.76,,4.6,7.2,,,,,
5,18.2,22.7,15.8,1014.8,84,7.11,,5.9,10.7,,,,,
6,20.4,24.4,14.7,1013.9,57,0,,5.9,7.2,,,,,
7,18.9,24.4,14.8,1014.2,73,0,,6.7,14.4,,,,,
8,20.9,26.2,15.1,1014.1,57,0,,4.1,7.2,,,,,
9,19.9,27.6,16.6,1013.4,79,6.1,,5.4,14.4,,,,,
10,21.7,27,16.8,1013.2,74,0,,4.4,7.2,,,,,
11,21.8,27.8,16.8,1011.2,76,8.89,,5.7,10.7,,,,,
12,15.8,17.3,14.7,1015.7,95,11.94,,5.2,7.2,,,,,
13,15.8,17.6,13.9,1009.8,94,34.04,,5,10.7,,,,,
14,14.2,17.5,13,1012.2,92,23.11,,5.9,10.7,,,,,
15,14.8,19.3,12.1,1014.2,82,4.06,,5.9,7.2,,,,,
16,14.7,19.3,9.4,1016.6,68,0.76,,5.7,7.2,,,,,
17,16.3,21.3,10.9,1016.5,59,0,,5,7.2,,,,,
18,17.3,22.5,12,1011.8,69,0,,5,7.2,,,,,
19,17.2,21.7,14.1,1012.3,82,0,,4.6,7.2,,,,,
20,15.1,18.1,13.1,1015.1,88,1.02,,5,10.7,,,,,
21,15.3,20.1,12,1016.1,77,18.03,,4.1,7.2,,,,,
22,15.5,18.6,12.6,1016.7,82,0,,3.5,3.5,,,,,
23,15.4,18.4,12.9,1013.8,90,2.03,,5.9,7.2,,,,,
24,13.8,19.5,11.6,1016.3,79,3.81,,4.4,7.2,,,,,
25,14.1,18.7,9.4,1018.7,65,0,,5.7,10.7,,,,,
26,14.8,18.8,11.1,1009.7,87,0.25,,3.5,3.5,,,,,
27,17.6,23.1,13.4,1010.7,69,0,,5.4,10.7,,,,,
28,15.6,20.9,10,1019.6,63,0,,4.4,7.2,,,,,
29,16.9,22.8,11.7,1018.7,69,0,,4.1,7.2,,,,,
30,17.6,21.8,13.3,1017.9,83,0.51,,5.4,10.7,,,,,
31,16.2,19.3,13.4,1014.1,92,19.05,,5.2,10.7,,,,,
