Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,14.6,20.3,8.8,1013.1,51,0,,44.1,64.8,,,,,
2,15.9,21.7,10.2,1015.2,45,0,,19.1,32.4,,,,,
3,13.2,20.2,8.4,1020.1,63,0,,25.6,46.9,,,,,
4,10.6,16.5,6.3,1020.1,71,0,,36.1,53.9,,,,,
5,9,11.7,7.1,1018.5,81,0,,34.4,46.9,,,,,
6,6,10.6,3.5,1019,64,4.06,,45.6,61.1,,,,,
7,5.7,7.2,3.8,1018.8,84,9.14,,36.7,43.2,,,,,
8,10.1,14.1,6.3,1022.3,74,0,,35,50.4,,,,,
9,11.4,15.9,7.5,1025.7,63,0,,12.2,21.7,,,,,
10,13.9,19.5,8.6,1018.2,58,0,,18,21.7,,,,,
11,8.3,17,5.6,1020.7,62,2.03,,38.5,53.9,,,,,
12,10.1,14.8,5.1,1017.9,54,0,,17.8,32.4,,,,,
13,9.1,13.3,6.8,1011.8,74,1.52,,30.7,53.9,,,,,
14,9.8,14.3,6.8,1015.1,62,0,,24.1,35.9,,,,,
15,10.2,14.6,7.3,1013.9,64,0,,23,39.6,,,,,
16,7.2,12.5,4.6,1015.3,63,0.25,,33.9,53.9,,,,,
17,4.8,9.9,2.4,1015.2,86,5.08,,20.7,35.9,,,,,
18,2.9,9.4,0.2,1016.4,84,10.92,,33.9,46.9,,,,,
19,0,2,-1.1,1021.2,,5.59,,53.5,61.1,,,,,
20,0.5,3,-0.9,1029.5,68,0,,41.5,57.6,82.8,,,,
21,5,11.5,-0.9,1027.9,53,0,,32.6,43.2,,,,,
22,7.1,11.7,3.5,1018.5,69,2.03,,35.2,43.2,,,,,
23,4.8,9.7,2.1,1020.4,66,0.25,,38.7,53.9,,,,,
24,7.6,12,1.4,1018,56,0,,21.9,35.9,,,,,
25,11.3,19.6,5.2,1007.5,70,0,,23.2,50.4,,,,,
26,7.8,13.3,4.4,1008.3,87,0,,27,43.2,,,,,
27,4.3,6.3,3.3,1012.9,97,6.1,,21.1,32.4,,,,,
28,2.8,4.5,1.5,1010.6,99,4.83,,27.6,39.6,,,,,
29,5.9,10.4,1.3,1018,78,3.05,,22.4,50.4,,,,,
30,8.7,13.2,4,1017.9,64,0,,22,39.6,,,,,
