Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,12.1,15.6,8.6,1009.5,86,5.33,,6.9,11.1,,,,,
2,13.3,17.8,10.3,1010.4,80,0.51,,6.7,13,,,,,
3,14.2,19.8,10.2,1014.1,69,7.11,,4.6,7.6,,,,,
4,18,26.4,6.8,1013.7,59,0,10,4.1,9.4,,,,,
5,20.6,25.1,15.3,1009.2,69,0,10,6.7,13,,,,,
6,15.6,18.8,13.5,1006.7,81,2.54,8.7,6.5,11.1,,,,,
7,14.6,18,11.4,1007.8,74,0,10,5.4,11.1,,,,,
8,13,24.7,9,1000.8,94,17.02,,10,11.1,,,,,
9,9.9,12.2,7.8,1016.1,80,32,9,11.3,14.8,,,,,
10,10.7,13.7,8.7,1018.9,88,0,9.2,5.7,11.1,,,,,
11,12,16.5,8.2,1020.0,82,0,8,5.6,9.4,,,,,
12,13.9,17.3,11.6,1017.0,94,23.11,,6.7,11.1,,,,,
13,16.9,24,9.9,1020.8,79,0,10,3.1,7.6,,,,,
14,20.1,27.7,11.7,1023.1,67,0,10,2.2,5.4,,,,,
15,19.9,25.6,14.3,1020.9,74,0,10,4.6,9.4,,,,,
16,13.9,17.3,9,1023.9,68,0,8.7,8.7,13,,,,,
17,11.9,18.3,4.7,1024.2,67,0,,3.3,7.6,,,,,
18,12.1,17.2,6.6,1019.8,70,0,,7.4,11.1,,,,,
19,11.8,17.5,6.2,1024.1,66,0,,5,9.4,,,,,
20,10.9,17.7,2.7,1025.4,66,0,,4.4,11.1,,,,,
21,11.4,18.1,3.3,1025.6,67,0,,1.9,7.6,,,,,
22,13.5,21.4,3.7,1024.6,59,0,,2.8,7.6,,,,,
23,17.2,24.3,7.8,1018.3,55,0,,7.6,13,,,,,
24,17.1,24.4,13.1,1010.2,80,25.15,8.7,5.4,16.5,,,,,
25,13.4,16.4,11.5,1014.7,83,0,,7,11.1,,,,,
26,14.3,19.2,12,1019.6,88,5.08,,5.4,11.1,,,,,
27,16.6,24.6,7.4,1018.2,71,0,,3.9,9.4,,,,,
28,17.2,23.2,10.7,1016.9,82,0,,2.6,11.1,,,,,
29,18.1,24.3,14.5,1015.0,82,0.51,9,2.6,9.4,,,,,
30,16.7,22.5,11.3,1012.9,73,0,,6.3,11.1,,,,,
31,17.2,24.6,9.3,1016.3,70,0,9.2,3.5,9.4,,,,,
