Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-3.7,-1,-8.7,,96,1.27,,28.3,33.5,,,,,
2,0.7,2.2,-1.8,,88,6.1,,29.8,38.9,,,,,
3,7.1,19,1.5,,34,0,,17.2,29.4,,,,,
4,6.4,8.9,4,,43,0,,16.9,40.7,,,,,
5,5.4,9.6,3.8,,79,0.51,,4.8,7.6,,,,,
6,3.8,10.6,2,,91,3.3,,15.6,33.5,,,,,
7,3.7,5.6,1.9,,64,0,,28.3,37,,,,,
8,-3.9,1.3,-7.5,,93,7.11,,27.2,37,,,,,
9,-8.3,-7.1,-9.6,,89,2.03,,29.8,38.9,,,,,
10,-4.3,-1.8,-7.7,,89,0,,22.6,31.3,,,,,
11,-2.4,-1.2,-3.1,,94,0.51,,22.4,29.4,,,,,
12,-2.6,-1.5,-3.5,,94,2.03,,29.8,35.2,,,,,
13,-4.2,-2.9,-7.1,,93,0.76,,26.7,33.5,,,,,
14,-7.4,-5.7,-9.1,,88,0,,23.3,29.4,,,,,
15,-4.9,-0.8,-8.2,,80,0,,9.6,18.3,,,,,
16,-2.4,0.2,-4,,87,0,,10.6,18.3,,,,,
17,-3.2,-0.3,-5.9,,80,3.05,,21.7,31.3,,,,,
18,1.7,7,-2.1,,70,0,,11.1,20.6,,,,,
19,3.2,7.5,0.1,,71,0,,20.9,27.8,,,,,
20,3.1,5.6,1,,81,0,,19.8,29.4,,,,,
21,4.1,6.6,2.4,,80,0,,21.1,37,,,,,
22,7.4,9.4,4.4,,52,0,,23.7,40.7,,,,,
23,7.8,11.6,3.2,,41,0,,15.2,27.8,,,,,
24,5.8,8.9,2.9,,76,2.03,,12.4,25.9,,,,,
25,1.1,2.5,-0.9,,94,9.91,,16.1,18.3,,,,,
26,0.1,2.7,-1.7,,94,2.03,,11.3,14.8,,,,,
27,1.4,5.2,0,,,0.25,,12.4,20.6,,,,,
28,3.4,6.8,0.6,,74,0,,7.6,13,,,,,
29,5.7,11.2,1.2,,60,0,,5.7,13,,,,,
30,3.3,5.3,1.8,,92,2.03,,10.9,16.5,,,,,
