Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,3.1,7,0,,54,0,,5.2,10.7,,,,,
2,2.6,6,-0.1,,64,0,,6.9,14.4,,,,,
3,4.5,7.9,0,,59,0,,9.4,21.7,,,,,
4,4.3,5.6,3.3,,75,0.25,,9.4,14.4,,,,,
5,2.1,5.2,0,,78,14.99,,7.8,14.4,,,,,
6,-5.2,1.3,-7.3,,89,20.07,,15.4,25.2,,,,,
7,-4.9,-1.2,-7.4,,88,2.29,,10.6,28.7,,,,,
8,0.1,3.6,-5,,46,0,,8.5,14.4,,,,,
9,-0.8,1.7,-3.5,,26,0,,6.3,10.7,,,,,
10,-4.7,-1.8,-6.3,,47,0,,13.1,25.2,,,,,
11,-3.1,1.7,-6.8,,44,0,,7.2,14.4,,,,,
12,-6.1,-3.3,-7.7,,70,2.03,,7.2,14.4,,,,,
13,-8.6,-6,-10.7,,85,4.06,,16.7,32.4,,,,,
14,-5.7,-1.1,-12.1,,52,0,,6.3,14.4,,,,,
15,-1.1,2.6,-6.1,,38,0,,9.4,21.7,,,,,
16,-2.8,1.1,-5.3,,63,0,,5.7,10.7,,,,,
17,0.5,4.7,-4.7,,23,0,,4.4,7.2,,,,,
18,0.4,3.6,-2,,42,0,,5.9,14.4,,,,,
19,3.3,5,-0.7,,59,1.02,,5.4,10.7,,,,,
20,7.3,10.8,2.5,,49,0,,5.7,14.4,,,,,
21,1.4,7.6,-2.4,,56,0.25,,8.1,18,,,,,
22,-2.9,0.7,-6.5,,61,0,,5.9,14.4,,,,,
23,-2.7,1.7,-6.7,,30,0,,5.9,10.7,,,,,
24,3.4,8,-3.2,,17,0,,6.9,14.4,,,,,
25,2.5,5.2,-1.6,,15,0,,6.9,10.7,,,,,
26,-3.3,1.9,-5.6,,57,0,,5,7.2,,,,,
27,-0.4,3.2,-5.7,,24,0,,6.9,10.7,,,,,
28,3.6,6.7,-0.7,,19,0,,8,14.4,,,,,
29,1.8,3.9,0.1,,22,0,,8.1,14.4,,,,,
30,1.5,3.6,-0.3,,38,0,,10.2,18,,,,,
31,2.9,6.7,-1.1,,59,0,,7.2,10.7,,,,,
