Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,-7.6,-2.8,-15,,37,0,20.3,9.6,16.5,,,,,
3,-5.6,-1,-12,,37,0,18.8,5,9.4,,,,,
4,-7.1,-2,-12.5,,60,0,18.8,7.4,11.1,,,,,
5,-10.7,-8.5,-13.5,,58,0.51,17.1,14.4,24.1,,,,,
6,,,,,,,,,,,,,,
7,-5.8,-3,-9,,84,3.56,8,14.1,29.4,,,,,
8,-2.7,-1,-12,,85,6.1,6.4,16.5,18.3,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,-5.7,-1.7,-12.2,,63,0,12.6,3.7,11.1,,,,,
13,-2.7,-0.7,-4.6,,68,0.76,13,9.6,14.8,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,-3.3,2.8,-13,,64,0,18,1.9,9.4,,,,,
19,-6.9,-0.3,-12,,81,0,3.1,1.3,5.4,,,,,
20,-5.2,1.5,-11.5,,85,0,2.7,0.9,3.5,,,,,
21,-2.4,2.8,-7.5,,71,0,5.8,0,,,,,,
22,2.2,4.4,-1,,66,0,2.6,5.2,9.4,,,,,
23,3.3,6.8,-3,,69,0,12.1,2.6,5.4,,,,,
24,,,,,,,,,,,,,,
25,1.4,2.6,-1.5,,92,0,0.2,0,,,,,,
26,4.9,8.9,-1.5,,62,0,9.2,8.1,14.8,,,,,
27,2.1,5.3,0.3,,55,0,27.5,8.9,13,,,,,
28,2.2,4.2,0.6,,54,0,20,10.6,16.5,,,,,
