Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-2.9,-1.2,-5,1008.5,93,0,31.5,9.8,18,,,,,
2,-4.8,-2.9,-8.5,1015.5,81,0,46.2,13,18,,,,,
3,-10.8,-4.6,-16,1017.7,78,0,42.5,5.4,7.2,,,,,
4,-13.9,-6.8,-22.7,1014.6,85,0,28.3,6.1,10.7,,,,,
5,-4.5,-1.2,-15.6,1007.7,88,1.02,27,13.9,21.7,,,,,
6,-3.2,-1.3,-4.7,1018.2,89,0,49.4,7.2,14.4,,,,,
7,-4.2,-1.5,-9.8,1032.6,89,0,37.8,5.4,10.7,,,,,
8,-2.8,-0.4,-7.4,1038.7,93,0,24,9.8,14.4,,,,,
9,-2.3,-0.2,-9.2,1044.2,89,0,45.2,9.1,14.4,,,,,
10,-5.5,1.2,-13.5,1042.8,80,0,50.1,12.6,25.2,,,,,
11,-4.1,-0.8,-9,1039.9,62,0,50.1,18,18,,,,,
12,-3.3,1.5,-8.6,1036.0,55,0,50.1,20.7,28.7,,,,,
13,-1.9,2.2,-8.1,1035.3,57,0,50.1,23.3,32.4,35.9,,,,
14,-1.2,2.5,-5.5,1034.8,54,0,50.1,26.1,28.7,35.9,,,,
15,-0.6,1,-1.7,1030.8,79,0.25,35.4,26.3,32.4,35.9,,,,
16,-0.1,1.2,-1.6,1031.0,78,0,50.1,7.2,14.4,,,,,
17,-3.3,0.1,-7.7,1032.1,76,0,46.2,9.1,14.4,,,,,
18,-6.5,0.4,-14.5,1032.2,77,0,50.1,6.7,10.7,,,,,
19,-5.3,-0.5,-11.5,1029.6,77,0,45.7,7.6,10.7,,,,,
20,-4.6,4.1,-13.4,1025.6,67,0,50.1,6.3,10.7,,,,,
21,-6.8,0.4,-15.7,1027.2,77,0,46.2,5,7.2,,,,,
22,-3.3,3.1,-11,1030.7,71,0,50.1,8.1,10.7,,,,,
23,-1.7,6,-10.5,1033.4,47,0,50.1,10.7,14.4,,,,,
24,-0.9,6.5,-6.3,1030.7,41,0,50.1,12.4,21.7,,,,,
25,-3,2.5,-8.1,1027.7,56,0,50.1,5,7.2,,,,,
26,-0.1,3.1,-9,1015.4,63,0,50.1,24.6,32.4,39.6,,,,
27,-2.4,1.4,-9.1,1004.5,87,2.03,32.5,16.7,28.7,,,,,
28,-1.9,2.1,-7.8,1010.0,77,0,50.1,23.3,28.7,,,,,
29,0.7,3.2,-1,1011.2,65,0,46.2,13,18,,,,,
30,-0.4,2,-2.4,1007.3,91,5.08,20.8,10.2,14.4,,,,,
31,-1.1,1.2,-3.1,1009.4,86,1.02,44.6,10.7,14.4,,,,,
