Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,2.9,3.7,1.7,1006.4,92,0,4,14.8,18,,,,,
2,2.9,4.3,2.1,1005,88,0,5.3,11.3,14.4,,,,,
3,4.4,6.7,2.5,1000.5,87,8.89,6.8,14.8,25.2,39.6,,,,
4,2.8,5.9,-0.6,1017.1,83,0,10.8,14.8,25.2,,,,,
5,2.9,8.2,-2.2,1018.7,83,0,8.5,14.8,25.2,43.2,,,,
6,3.4,5.7,0.2,1001.1,91,1.02,5.1,18.5,25.2,50.4,,,,
7,2.8,5.2,-0.3,999.7,93,12.95,5.6,13.5,21.7,,,,,
8,1.9,4.1,-1,1005.8,98,0,4.7,13.9,21.7,35.9,,,,
9,1.2,4.7,-1.5,1018.8,91,0.76,9.2,14.8,18,35.9,,,,
10,4.2,5.7,1.2,1005,89,7.37,8.9,17.6,21.7,39.6,,,,
11,4.2,7.5,0.1,999.8,82,4.32,9.2,19.8,25.2,43.2,,,,
12,0.5,3.2,-1.1,1008.7,73,0,10.8,20.2,25.2,39.6,,,,
13,1.4,3.3,-1,1016.5,83,0,10,13.9,18,,,,,
14,1,4.1,-1.1,1021.9,83,0,12.4,10.4,14.4,,,,,
15,-0.9,0.6,-2,1025.4,79,0,10.6,13.3,18,,,,,
16,-2.6,-1,-4.5,1030.4,88,1.02,7.1,8.5,10.7,,,,,
17,-5.4,-4,-8.9,1037.2,86,0.25,8.4,10.4,14.4,,,,,
18,-8.8,-6.8,-12.5,1048.1,85,1.02,8.5,10.2,14.4,,,,,
19,-9.1,-5,-14.6,1050.1,85,1.02,10,9.8,18,,,,,
20,-11.6,-8.8,-15.5,1043.2,90,0,6,9.1,10.7,,,,,
21,-9.5,-6.3,-14.5,1034.7,92,0,2.7,9.1,10.7,,,,,
22,-8.7,-5.6,-12.3,1034.6,84,0,3.1,9.4,14.4,,,,,
23,-9.4,-5.6,-11.4,1033.8,89,0,2.3,6.7,7.2,,,,,
24,-8.6,-5.3,-14.1,1023.5,89,0,1.9,8.5,14.4,,,,,
25,-4.7,-2.8,-8,1011,96,0,1.4,5,7.2,,,,,
26,-3.3,-1.8,-4.8,1006.3,92,0.25,3.1,7.2,10.7,,,,,
27,-4.2,-0.8,-7.2,1012.5,91,0,4,6.3,7.2,,,,,
28,-4.7,-2.7,-7.5,1018.3,85,1.02,7.7,10.2,14.4,,,,,
29,-6.4,-5.7,-7.8,1017.5,88,0.51,2.9,14.8,25.2,43.2,,,,
30,-4.6,-2.3,-8,1015.5,92,0,3.9,9.8,18,,,,,
