Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,9.2,13.9,3.9,1014.3,62,0,10,13.5,25.9,,,,,
2,7.8,12.8,2.8,1010.7,75,1.02,9.2,12.8,18.3,,,,,
3,8.9,20,6.1,1011,72,7.11,10,11.7,14.8,,,,,
4,7.2,12.2,2.2,1007,88,2.03,6.8,10.6,18.3,,,,,
5,8.8,12.8,3.9,1005.4,81,2.03,9.2,17.6,29.4,,,,,
6,8.6,12.8,6.1,1012.4,83,3.05,10,20,29.4,,,,,
7,10.8,17.2,3.9,1019.7,70,0,12.6,11.5,25.9,,,,,
8,15.2,20,6.1,1020.6,46,0,9.2,9.3,18.3,,,,,
9,11.9,16.1,8.9,1022.6,74,4.06,10,13.9,22.2,,,,,
10,12.9,18.9,5,1024,65,0,13.7,8.7,25.9,,,,,
11,11.8,20,7.8,1024.2,79,2.03,10,11.1,29.4,,,,,
12,13.3,18.9,5,1025.3,60,0,10,5.6,14.8,,,,,
13,16.1,20,12.2,1021.1,71,0,10,7,7.6,,,,,
14,17.7,23.9,12.2,1014.4,74,0,10,14.8,29.4,,,,,
15,11.8,17.8,7.8,1018.4,71,14.99,8.5,24.1,29.4,,,,,
16,10.1,13.9,6.1,1023.7,64,0,10,13.9,18.3,,,,,
17,9.3,12.8,3.9,1026.4,68,0,11.4,10,14.8,,,,,
18,9.9,15,2.8,1020.3,71,2.03,10,15.7,25.9,,,,,
19,8.3,13.9,2.2,1022.3,63,0,10,18,25.9,,,,,
20,9.9,17.2,2.8,1017.7,60,0,10,9.6,18.3,,,,,
21,11.5,17.8,5,1013.5,57,0,10,11.1,25.9,,,,,
22,14.4,21.1,10,1016.4,60,0,11.4,7.4,11.1,,,,,
23,13.1,20,7.8,1022.9,57,0,10,13.3,22.2,,,,,
24,12.9,18.9,7.2,1025,56,0,10,11.5,18.3,,,,,
25,14.4,20,6.1,1022.4,50,0,10,8.3,18.3,,,,,
26,17.8,22.8,10,1017.2,39,0,10,14.6,18.3,,,,,
27,16.2,22.8,7.8,1014.4,54,0,10,8.9,14.8,,,,,
28,15,22.8,7.8,1013.7,66,2.03,9.2,8.3,29.4,,,,,
29,17,25,8.9,1013.5,60,0,9.2,6.9,22.2,,,,,
30,18.3,26.1,12.8,1012.1,67,1.02,10,8.7,11.1,,,,,
31,20,27.2,12.2,1008.2,58,1.02,10,7,14.8,,,,,
