Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-3.4,-1.4,-5.5,1013.6,96,0,,5.4,7.2,,,,,
2,-2.7,-0.8,-5.7,1010,96,0,,13.9,21.7,,,,,
3,0.5,1.7,-1.3,1007.9,,0,,7.2,10.7,,,,,
4,1.6,3.1,-0.2,991.7,93,0,,16.1,25.2,46.9,,,,
5,1.2,2.9,-0.1,983,90,0,,18.5,21.7,43.2,,,,
6,0.6,1.5,-0.7,989.4,98,0,,8.1,14.4,,,,,
7,-1.2,-0.2,-3,1000.7,94,0,,11.7,14.4,,,,,
8,-0.4,0,-1.4,1010,94,0,,8.1,10.7,,,,,
9,-2,-1.4,-2.4,1014.3,98,0,,5.4,7.2,,,,,
10,-3.3,-1.1,-5.5,1018.8,94,0,,5.9,7.2,,,,,
11,-0.2,0.6,-3.9,1010.5,97,0,,14.4,18,39.6,,,,
12,-0.3,0.8,-2.3,,,0,,15.4,18,,,,,
13,-0.9,0.1,-1.8,985.1,94,0,,12.4,14.4,,,,,
14,-2.9,-2.4,-4,996,98,0,,7.6,10.7,,,,,
15,-3.1,-2.4,-3.6,1014.6,94,0,,9.1,10.7,,,,,
16,-3.9,-3.4,-4.2,1017.6,93,0,,9.1,10.7,,,,,
17,-4.8,-2.4,-5.9,1022.5,92,0,,5,7.2,,,,,
18,-5.4,-4.5,-6.3,1019.1,97,0,,11.3,14.4,,,,,
19,-5.7,-5.2,-6.2,1006.3,97,0,,16.7,21.7,,,,,
20,-5.7,-4.5,-8.6,1003.1,98,0,,7.6,10.7,,,,,
21,-6.9,-4.4,-8.9,1008.9,98,0,,5.4,10.7,,,,,
22,-4.8,-2.4,-7.8,1003.8,98,0,,11.3,14.4,,,,,
23,-7.7,-3.6,-10.7,1009.9,88,0,,12.2,14.4,,,,,
24,-7.8,-6.1,-10.7,1018.1,92,0,,12.6,18,,,,,
25,-10.6,-9.2,-11.9,1029.2,87,0,,11.3,14.4,,,,,
26,-11.9,-8.5,-15.4,1040.1,81,0,,11.3,14.4,,,,,
27,-14.1,-11.8,-15.9,1045.8,81,0,,9.8,10.7,,,,,
28,-15.9,-11.4,-19.7,1050.1,76,0,,11.3,14.4,,,,,
29,-14.6,-8.9,-18.8,1052.8,68,0,,9.1,10.7,,,,,
30,-15.8,-12.4,-19,1052.3,74,0,,5.4,10.7,,,,,
31,-17.8,-14.2,-21.2,1049,81,0,,6.7,10.7,,,,,
