Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,10.4,12.3,8,995.3,74,0,19.8,,,,,,,
2,10.7,13,9.1,997.2,78,0,19.8,,,,,,,
3,9.3,12.9,6.7,1005.7,82,0,20,,,,,,,
4,6.3,8.5,3.1,1009.4,89,0,19.8,,,,,,,
5,3.7,6.4,1.8,1016.4,85,0,19.5,,,,,,,
6,1.9,4.4,-1.2,1019.3,89,0,16.6,,,,,,,
7,4.6,7.8,1.6,1014.5,83,0,19.8,,,,,,,
8,4.4,7.4,0.2,1008.1,88,0,19,,,,,,,
9,8.4,13.1,5.3,1002.7,90,0,13.2,,,,,,,
10,10.1,11.8,8.7,1003.1,90,0,17.2,,,,,,,
11,10.5,11.6,8.9,1005.9,90,0,18,,,,,,,
12,12.1,13.8,10.7,1001.4,88,0,19.3,,,,,,,
13,10.7,13.5,6.1,1011.5,85,0,20,,,,,,,
14,13.7,17.2,11.4,1009.9,79,0,18.5,,,,,,,
15,9.8,11.2,8,1017.9,90,0,20,,,,,,,
16,14.4,17.9,10.6,1008.2,82,0,18.5,,,,,,,
17,12.4,14.4,11.1,1009.5,91,0,17.1,,,,,,,
18,12.6,14.5,11.2,1013.7,91,0,15.9,,,,,,,
19,11.7,13.6,9.8,1012.7,89,0,17.2,,,,,,,
20,12.4,15.5,7.9,1015,91,0,9.7,,,,,,,
21,10.8,13.1,7.4,1019.4,95,0,12.4,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,10.4,13.3,8.1,1013.7,91,0,12.7,,,,,,,
26,12.1,14.1,9.9,1011,86,0,16.1,,,,,,,
27,10.9,13.4,5.1,1003.2,86,0,19.6,,,,,,,
28,4.8,8,1.7,1010.8,86,0,20,,,,,,,
29,2.4,5.9,0,1016.6,88,0,19.5,,,,,,,
30,0.5,3.9,-1.3,1025.7,88,0,18,,,,,,,
31,2.1,4.4,-0.6,1020.7,92,0,19.5,,,,,,,
