Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,1.1,2.8,-2.2,1008.1,,3.56,5.5,19.3,25.9,,,,,
2,,,,,,,,,,,,,,
3,0.7,3.9,-2.2,1004.9,90,0.51,6,18.5,25.9,,,,,
4,2.2,,1.1,998.5,89,5.08,6.9,28.2,31.3,,,,,
5,3.1,5,2.2,997.2,89,0,6.9,20.4,25.9,,,,,
6,2.9,3.9,2.2,1004.7,90,4.06,10,21.9,42.4,,,,,
7,,,,,,,,,,,,,,
8,-0.8,0,-2.8,1019.7,91,1.02,4,13.9,18.3,,,,,
9,-1.7,-1.1,-2.2,1024.8,89,0,8.5,19.3,25.9,,,,,
10,,,,,,,,,,,,,,
11,-1.1,0,-2.2,1025.7,83,0,10.9,1.9,7.6,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,-0.3,0,-1.1,1032.7,87,0,10,9.4,11.1,,,,,
15,,,,,,,,,,,,,,
16,-0.6,0,-2.2,1013.7,91,0.51,8.5,21.3,25.9,,,,,
17,0,2.8,-3.9,1015.8,,0,10,20,46.5,,,,,
18,-1.1,1.1,-2.2,1014.4,90,0.51,8.5,12,18.3,,,,,
19,0,2.2,-1.1,1017.7,,0.51,,,,,,,,
20,-0.7,2.8,-6.1,1029.5,77,0,8.5,4.6,11.1,,,,,
21,,,,,,,,,,,,,,
22,1.9,7.8,-1.1,1024.2,74,0,10,14.8,14.8,,,,,
23,3.8,10,0,1020.5,77,0,8.5,11.1,18.3,,,,,
24,3.5,7.8,-1.1,1015.6,65,0,10,16.3,35.2,,,,,
25,,,,,,,,,,,,,,
26,1.5,2.8,0,1010.3,92,,5.5,9.4,14.8,,,,,
27,1.2,3.9,0,1011.2,,3.56,4.2,0,,,,,,
28,0.3,1.1,-2.2,1010.4,90,1.27,6,2.8,3.5,,,,,
29,,,,,,,,,,,,,,
30,0.7,3.9,-2.2,1017.8,81,0.51,8.5,3.7,7.6,,,,,
31,,,,,,,,,,,,,,
