Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,5.3,9.5,0.3,1012.8,89,0,9.5,,,,,,,
6,2,4,1.5,1014.9,80,0,10.9,12.6,14.4,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,9,12,7.6,1014.2,90,0,9.5,8.1,10.7,,,,,
12,12.3,15.9,7.1,1011.1,78,0,12.6,16.1,25.2,,,,,
13,12.1,17.3,8.7,1015.5,89,0,6.9,4.4,7.2,,,,,
14,14.4,22.4,9.2,1016.2,82,0,9.5,,,,,,,
15,10.2,18.2,5.5,1020.2,85,0,8.7,,,,,,,
16,14.3,20.8,10.7,1016.5,64,0,12.6,7.2,10.7,,,,,
17,10.4,17.6,7.7,1016.2,80,0,12.6,,,,,,,
18,9.3,17,4.2,1018.7,89,0,6.9,,,,,,,
19,12.2,19,10,1016.8,81,0,8.5,,,,,,,
20,13.1,19.7,8.3,1018.6,80,0,12.6,,,,,,,
21,10.8,21.1,7.4,1020.2,89,0,5.5,,,,,,,
22,9.9,20.3,5.6,1022.5,92,0,4.5,,,,,,,
23,8.7,16.7,6.3,1021,93,0,4.5,,,,,,,
24,4.2,15.7,-0.9,1022.2,93,0,6.1,,,,,,,
25,7.6,10.7,1.1,1020.3,99,0,2.1,7.2,10.7,,,,,
26,10,12.8,8.2,1019.7,96,0,3.1,,,,,,,
27,12,17.5,7.8,1009.7,82,0,9.5,10.7,14.4,,,,,
28,6.5,11.8,5,1013.2,85,0.51,10.9,8.1,14.4,,,,,
29,4.1,8,0.7,1015.5,85,0,6.9,8.1,10.7,,,,,
30,-2.4,1.6,-3.4,1024.2,90,0.25,6.9,5.4,7.2,,,,,
31,-4.5,2.9,-9.2,1026.7,83,0,9.7,,,,,,,
