Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-1.6,0.5,-5.3,1017.7,91,1.02,10.1,16.9,21.7,,,,,
2,-1,0,-4.5,1011,99,4.06,6.1,13.5,18,,,,,
3,-2.8,-0.2,-5.3,1018.2,94,,13.7,8.5,18,,,,,
4,3.1,5,-2.7,1015,98,1.02,4.8,18.5,21.7,,,,,
5,2.4,3.5,1.1,1014.6,92,0,6.9,19.4,25.2,,,,,
6,0.1,1.3,-1.4,1005,92,0,5,25.7,32.4,,,,,
7,3.1,5.6,1,996.5,94,10.92,8.7,22.8,25.2,,,,,
8,3.8,5.6,1.7,997.2,92,7.62,12.4,23.3,32.4,,,,,
9,4.7,6.2,3.4,997.4,90,3.3,19.2,19.8,21.7,,,,,
10,1.3,3.7,-2.5,1010.3,92,1.02,16.7,15.9,21.7,,,,,
11,-2.6,-0.2,-5.5,1018.4,89,0,19.6,17.6,25.2,,,,,
12,-1.8,0,-5,1008.2,92,0,11.6,18.9,21.7,,,,,
13,0.3,1.5,-1.6,998.9,94,0.51,9,25.7,32.4,,,,,
14,1.4,1.9,0,994.5,95,2.03,10.1,27,28.7,,,,,
15,2,3.1,0.3,997.7,95,10.92,12.9,17.4,32.4,,,,,
16,3.5,5,0.8,1007.2,89,8.89,17.5,24.6,32.4,,,,,
17,4.5,4.8,1.5,1008.9,99,0,1.4,11.9,18,,,,,
18,5.2,8.5,3.6,1009.4,87,0.25,12.6,20.4,25.2,,,,,
19,3.4,5.5,-0.1,1022.8,92,1.02,15,13.9,21.7,,,,,
20,1.8,4.4,-1.3,1008.9,98,0,4,25.6,28.7,,,,,
21,3.6,5.1,2.7,994.4,96,0,4,20.7,28.7,,,,,
22,5.1,5.3,4.5,993.5,97,0.76,8.7,12.6,18,,,,,
23,5.4,5.8,5,998.4,99,0.51,7.2,10.7,18,,,,,
24,4.7,5.5,3.9,1005.1,98,6.1,7.1,8.1,10.7,,,,,
25,3.2,4,2.1,1010.2,96,0,15.9,9.1,10.7,,,,,
26,1.6,3,0.7,1016,93,0,15.4,9.8,18,,,,,
27,-0.4,0.5,-1.9,1022.1,92,0,20,14.8,18,,,,,
28,-1.3,-0.8,-1.9,1035.4,79,0.25,19.8,15.9,21.7,32.4,,,,
29,-2,0.3,-5.2,1034.9,86,0,19.6,15.9,25.2,,,,,
30,3,5,-0.2,1015.3,74,0,17.9,25.2,28.7,,,,,
31,3.9,5.7,1.7,1010.2,86,6.1,18.5,22,28.7,,,,,
